Provinsi,NamaKab/Kota,Jamban Bersama/Umum,Jamban Sendiri,Tidak ada
JAWA TENGAH,KOTA SURAKARTA,21878,18972,217
JAWA TENGAH,KOTA TEGAL,7067,12748,2175
JAWA TENGAH,KUDUS,6696,45674,5281
JAWA TENGAH,MAGELANG,41022,83105,29450
JAWA TENGAH,PATI,37578,118695,21552
JAWA TENGAH,PEKALONGAN,14988,54440,33677
JAWA TENGAH,PEMALANG,20808,91578,56112
JAWA TENGAH,PURBALINGGA,15257,63267,39126
JAWA TENGAH,PURWOREJO,17444,47829,16223
JAWA TENGAH,REMBANG,13312,56222,21636
JAWA TENGAH,SEMARANG,13493,47998,12104
JAWA TENGAH,SRAGEN,22695,51735,7166
JAWA TENGAH,SUKOHARJO,22661,55712,6267
JAWA TENGAH,TEGAL,22072,97364,47633
JAWA TENGAH,TEMANGGUNG,20822,48822,11593
JAWA TENGAH,WONOGIRI,11026,77526,4784
JAWA TENGAH,WONOSOBO,38696,42918,6423
JAWA TIMUR,BANGKALAN,27481,87036,13572
JAWA TIMUR,BANYUWANGI,22095,78957,81638
JAWA TIMUR,BLITAR,19187,75469,17645
JAWA TIMUR,BOJONEGORO,29850,86927,47844
JAWA TIMUR,BONDOWOSO,29125,13281,109942
JAWA TIMUR,GRESIK,11237,79871,4713
JAWA TIMUR,JEMBER,36551,70788,187950
JAWA TIMUR,JOMBANG,26855,90280,34945
JAWA TIMUR,KEDIRI,30369,93987,30726
JAWA TIMUR,KOTA BATU,1190,9430,900
JAWA TIMUR,KOTA BLITAR,1261,5500,392
JAWA TIMUR,KOTA KEDIRI,4916,15600,712
JAWA TIMUR,KOTA MADIUN,1763,5642,123
JAWA TIMUR,KOTA MALANG,4686,24348,2143
JAWA TIMUR,KOTA MOJOKERTO,1735,4830,408
JAWA TIMUR,KOTA PASURUAN,3661,7953,2721
JAWA TIMUR,KOTA PROBOLINGGO,4197,9660,3689
JAWA TIMUR,KOTA SURABAYA,57482,90826,828
JAWA TIMUR,LAMONGAN,15743,76298,23139
JAWA TIMUR,LUMAJANG,23164,70845,38687
JAWA TIMUR,MADIUN,16087,44326,12804
JAWA TIMUR,MAGETAN,8407,46381,6940
JAWA TIMUR,MALANG,37010,149832,25572
JAWA TIMUR,MOJOKERTO,13046,41669,25114
JAWA TIMUR,NGANJUK,38635,86408,21148
JAWA TIMUR,NGAWI,31596,65727,21462
JAWA TIMUR,PACITAN,7057,46279,949
JAWA TIMUR,PAMEKASAN,52774,53132,18621
JAWA TIMUR,PASURUAN,47088,66832,84649
JAWA TIMUR,PONOROGO,24939,72068,13028
JAWA TIMUR,PROBOLINGGO,41698,36290,106365
JAWA TIMUR,SAMPANG,32283,74125,29862
JAWA TIMUR,SIDOARJO,17353,75003,24880
JAWA TIMUR,SITUBONDO,19922,10799,78471
JAWA TIMUR,SUMENEP,62784,54056,63721
JAWA TIMUR,TRENGGALEK,17726,48868,16483
JAWA TIMUR,TUBAN,21399,55686,47761
JAWA TIMUR,TULUNGAGUNG,20880,65458,10682
KALIMANTAN BARAT,BENGKAYANG,801,7190,9452
KALIMANTAN BARAT,KAPUAS HULU,4472,9616,12473
KALIMANTAN BARAT,KAYONG UTARA,233,4182,4191
KALIMANTAN BARAT,KETAPANG,6315,15422,18163
KALIMANTAN BARAT,KOTA PONTIANAK,3895,18673,883
KALIMANTAN BARAT,KOTA SINGKAWANG,1571,9034,3189
KALIMANTAN BARAT,KUBU RAYA,4663,30953,15157
KALIMANTAN BARAT,LANDAK,2783,15175,28293
KALIMANTAN BARAT,MELAWI,6956,4103,6203
KALIMANTAN BARAT,MEMPAWAH,1236,16833,7968
KALIMANTAN BARAT,SAMBAS,4598,24350,12152
KALIMANTAN BARAT,SANGGAU,4242,9535,17213
KALIMANTAN BARAT,SEKADAU,878,2432,5714
KALIMANTAN BARAT,SINTANG,8020,15222,19682
KALIMANTAN SELATAN,BALANGAN,1696,3177,2559
KALIMANTAN SELATAN,BANJAR,12614,7805,3644
KALIMANTAN SELATAN,BARITO KUALA,10411,7020,740
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,11376,6912,3223
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,8410,11589,6531
KALIMANTAN SELATAN,HULU SUNGAI UTARA,12666,11064,2270
KALIMANTAN SELATAN,KOTA BANJAR BARU,1910,8451,420
KALIMANTAN SELATAN,KOTA BANJARMASIN,13756,22841,36
KALIMANTAN SELATAN,KOTA BARU,1675,6072,6986
KALIMANTAN SELATAN,TABALONG,3676,11006,4568
