Provinsi,NamaKab/Kota,Jamban Bersama/Umum,Jamban Sendiri,Tidak ada
SUMATERA UTARA,HUMBANG HASUNDUTAN,749,5302,7117
SUMATERA UTARA,KARO,7296,9572,7322
SUMATERA UTARA,KOTA BINJAI,2401,12822,636
SUMATERA UTARA,KOTA GUNUNGSITOLI,1876,6202,5962
SUMATERA UTARA,KOTA MEDAN,13322,95744,1083
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,2894,3645,3922
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1383,15093,1285
SUMATERA UTARA,KOTA SIBOLGA,805,4225,378
SUMATERA UTARA,KOTA TANJUNG BALAI,1823,10556,1921
SUMATERA UTARA,KOTA TEBING TINGGI,1861,8544,309
SUMATERA UTARA,LABUHAN BATU,2032,18439,2773
SUMATERA UTARA,LABUHAN BATU SELATAN,1648,5768,1640
SUMATERA UTARA,LABUHAN BATU UTARA,1750,13548,4163
SUMATERA UTARA,LANGKAT,13324,71198,12414
SUMATERA UTARA,MANDAILING NATAL,11781,3247,16534
SUMATERA UTARA,NIAS,1256,9153,10592
SUMATERA UTARA,NIAS BARAT,2022,2788,8985
SUMATERA UTARA,NIAS SELATAN,5675,4697,33706
SUMATERA UTARA,NIAS UTARA,1986,6507,14553
SUMATERA UTARA,PADANG LAWAS,1008,2123,13674
SUMATERA UTARA,PADANG LAWAS UTARA,1690,1692,7835
SUMATERA UTARA,PAKPAK BHARAT,121,1151,1064
SUMATERA UTARA,SAMOSIR,322,2536,3879
SUMATERA UTARA,SERDANG BEDAGAI,4739,25694,5629
SUMATERA UTARA,SIMALUNGUN,2838,26606,13166
SUMATERA UTARA,TAPANULI SELATAN,12132,2112,5830
SUMATERA UTARA,TAPANULI TENGAH,2025,6375,21287
SUMATERA UTARA,TAPANULI UTARA,2966,12302,10770
SUMATERA UTARA,TOBA SAMOSIR,576,3310,4540
