Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri,Listrik PLN,Listrik non-PLN,Tidak ada listrik,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung,Jamban Bersama/Umum,Jamban Sendiri,Tidak Ada Jamban,Bekerja,Tidak Bekerja,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
BENGKULU,REJANG LEBONG,4947,1754,21084,21941,306,5677,65,1951,8932,16976,3623,13345,10956,48162,38789,18845,5422
BENGKULU,SELUMA,1202,81,18592,17013,543,2409,234,73,2752,16906,1708,10112,8145,34176,32808,15992,3767
DI YOGYAKARTA,BANTUL,7477,730,89978,97752,284,563,656,5812,81756,10375,23401,68192,7006,157771,137458,52162,9045
DI YOGYAKARTA,GUNUNG KIDUL,1910,118,94846,96294,524,392,242,32742,34251,29973,11368,83454,2385,196747,114894,46355,11179
DI YOGYAKARTA,KOTA YOGYAKARTA,8438,4752,12121,26016,20,91,802,4267,20448,610,12225,13567,335,40149,40233,16094,2271
DI YOGYAKARTA,KULON PROGO,2868,78,41069,43765,9,382,263,4787,27078,12027,9409,32230,2517,76295,52757,22281,3472
DI YOGYAKARTA,SLEMAN,12437,1680,85901,100730,334,382,642,3469,83055,14280,18293,72620,10533,163338,142140,56284,9250
DKI JAKARTA,KEPULAUAN SERIBU,136,92,1519,1727,24,1,1243,232,35,242,546,1094,112,2343,4296,1638,314
DKI JAKARTA,KOTA JAKARTA BARAT,9539,14866,27715,52910,2,59,17745,29138,6056,32,20048,32692,231,69782,123562,45163,12116
DKI JAKARTA,KOTA JAKARTA PUSAT,12463,7219,13593,34719,0,82,12075,17150,5576,0,19272,15491,38,45526,74585,26210,6799
DKI JAKARTA,KOTA JAKARTA SELATAN,7679,13394,16148,38004,22,51,11403,1202,25408,64,11702,26356,18,49020,86413,35037,6982
DKI JAKARTA,KOTA JAKARTA TIMUR,14065,21337,30195,67598,0,126,27866,5172,34685,0,21569,45834,321,80675,157652,57517,13113
DKI JAKARTA,KOTA JAKARTA UTARA,16213,22248,29531,69463,0,0,39836,29066,560,0,28834,39242,1387,93340,158710,60303,15091
GORONTALO,BOALEMO,1309,28,13093,11292,923,2521,450,1444,9844,2998,3375,2422,8939,21246,36616,14431,4713
GORONTALO,BONE BOLANGO,1747,29,11726,11639,1107,1364,990,1489,9362,2269,3449,2098,8563,18696,38006,15459,3590
GORONTALO,GORONTALO,5389,111,38085,36911,2125,5693,1938,3452,33127,6212,11102,9755,23872,67895,110299,42178,14116
GORONTALO,GORONTALO UTARA,1100,15,10799,9446,989,1539,660,926,5714,4674,1901,1082,8990,17310,30440,12992,3611
GORONTALO,KOTA GORONTALO,3739,155,8273,12848,38,120,2141,3682,6915,268,5573,5337,2096,17321,33694,14640,2666
GORONTALO,POHUWATO,721,39,10433,9608,569,1181,1821,3287,3738,2512,2471,1882,7005,17230,30700,12621,3842
JAMBI,BATANG HARI,2943,476,17474,18138,536,2361,1137,1040,7846,11012,5511,10786,4738,29712,45663,17551,4985
JAMBI,BUNGO,1905,300,15032,14416,563,2519,1004,449,8069,7976,1880,6891,8727,24028,37713,15815,4670
JAMBI,KERINCI,7269,197,20855,26272,492,1695,1752,8433,8394,9880,7081,10082,11296,37297,43616,17407,3326
JAMBI,KOTA JAMBI,4847,6727,19815,31300,228,180,7057,9050,10910,4691,3580,27050,1078,47843,75008,30697,5380
JAMBI,KOTA SUNGAI PENUH,1192,198,3943,5126,10,329,690,3008,819,948,1102,2080,2283,7404,11424,4681,786
JAMBI,MERANGIN,1634,277,20975,15672,4924,2545,880,259,5359,16643,2997,9359,10785,34643,42710,17286,6565
JAMBI,MUARO JAMBI,1834,460,14950,15150,754,1633,2724,565,5650,8598,3644,9730,4163,26527,39627,17090,4396
JAMBI,SAROLANGUN,2011,305,20217,18061,1843,2769,661,658,7677,13677,2774,11113,8786,31653,45697,19137,5386
JAMBI,TANJUNG JABUNG BARAT,1927,1483,21271,13283,5393,6161,1503,188,2752,20394,2799,15308,6730,42174,46368,21245,5511
JAMBI,TANJUNG JABUNG TIMUR,767,291,15668,11428,2404,3087,2121,18,458,14322,1489,12265,3165,28911,29973,12798,3893
JAMBI,TEBO,1913,190,18313,17175,777,2779,402,546,7601,12182,2467,11429,6835,30615,38215,15155,4733
JAWA BARAT,BANDUNG,39603,15120,262036,324687,2171,173,53821,9850,209691,53668,137184,170333,19514,371748,737329,251184,86362
JAWA BARAT,BANDUNG BARAT,13299,2906,123752,140368,1189,465,4766,6576,93577,37103,53948,82104,5970,141403,316565,100105,36178
JAWA BARAT,BEKASI,5073,2585,149789,157390,946,516,79625,7443,62526,9258,45839,65556,47456,177813,355743,108363,34441
JAWA BARAT,BOGOR,17488,5959,293165,314756,2623,1636,11235,7068,188948,111763,68638,164735,85640,364681,794072,249557,111978
JAWA BARAT,CIAMIS,16277,1553,133047,150502,64,565,3137,3997,88601,55396,40238,69971,40921,151126,279464,80792,26191
JAWA BARAT,CIANJUR,27575,10239,262368,292508,7092,4842,10551,7088,176616,110186,123662,141579,39196,305826,638963,190467,80378
JAWA BARAT,CIREBON,47080,2732,193942,249697,67,37,42928,22778,158055,26039,57678,138029,54093,294322,597134,179272,61304
JAWA BARAT,GARUT,27671,6222,279161,310958,3319,1131,9542,11088,183764,111014,161230,123668,30509,358801,752354,270618,90282
JAWA BARAT,INDRAMAYU,31203,2268,202632,234569,1898,934,84848,48025,92194,12333,33060,150772,53567,245184,463266,128354,46956
JAWA BARAT,KARAWANG,17186,3986,196421,216316,1760,1579,39083,11459,147509,21604,47718,59836,112101,229119,476521,133710,53203
JAWA BARAT,KOTA BANDUNG,25814,25475,61657,115568,1638,5,39070,27535,47750,2851,55410,61139,659,135476,263817,93196,20595
JAWA BARAT,KOTA BANJAR,1322,436,10076,11772,44,18,1211,283,8261,2079,3435,7153,1246,11561,23701,7467,1989
JAWA BARAT,KOTA BEKASI,7857,18191,68576,95067,380,67,36195,2216,56647,456,7897,87164,453,118550,223994,79417,14346
JAWA BARAT,KOTA BOGOR,13726,5663,49606,70931,294,81,5683,20075,42647,2901,13990,52352,4964,88517,166151,57867,14863
JAWA BARAT,KOTA CIMAHI,5970,4372,14867,25456,105,6,7958,1515,14717,1377,10489,14807,270,28258,58922,21797,5196
JAWA BARAT,KOTA CIREBON,6449,2018,17207,26082,47,41,4981,15325,4398,1466,5984,19285,901,32368,59717,20781,6097
JAWA BARAT,KOTA DEPOK,6508,10797,56430,74050,183,44,6383,1647,65371,876,4677,68963,637,99529,172978,60287,12517
JAWA BARAT,KOTA SUKABUMI,3485,2393,15944,22541,1,46,3483,962,14547,3596,5898,15693,997,27195,55201,18465,4800
JAWA BARAT,KOTA TASIKMALAYA,10422,5610,49661,66726,4,5,9865,1339,40014,15517,16822,39498,10415,90104,138801,52629,13908
JAWA BARAT,KUNINGAN,8549,699,98786,108732,0,0,691,6248,74387,27406,9332,87606,11794,124028,243402,72053,23901
JAWA BARAT,MAJALENGKA,14975,1005,120975,137711,0,306,15501,3362,98984,20169,33064,84240,20712,167399,243615,75267,25638
JAWA BARAT,PANGANDARAN,2448,302,40600,43142,9,276,2280,523,24298,16326,8609,22154,12664,52181,64268,20417,7289
JAWA BARAT,PURWAKARTA,3974,1185,53868,59042,314,294,942,2539,29921,26247,14168,34594,10887,66558,136695,42760,19278
JAWA BARAT,SUBANG,13164,2957,113562,129625,932,344,7829,15332,97556,10184,24904,72306,33691,144897,285269,86621,29489
JAWA BARAT,SUKABUMI,15262,3126,215267,231901,1868,1716,4923,3503,109417,117641,82186,102941,50354,252680,564761,191292,66625
JAWA BARAT,SUMEDANG,8284,1392,85043,96349,341,231,2368,6564,65954,22035,27639,59004,10278,92453,178727,50268,16010
JAWA BARAT,TASIKMALAYA,14118,1657,194724,210295,682,829,2609,1921,96265,111010,98747,61011,52046,252056,406726,136705,48785
JAWA TENGAH,BANJARNEGARA,4437,271,100415,105056,511,616,323,2132,59766,43961,20463,39211,46506,163038,190090,58970,24005
JAWA TENGAH,BANYUMAS,9248,983,210340,219987,687,777,5302,8689,133862,73598,40166,117709,63576,321237,414756,142079,35816
JAWA TENGAH,BATANG,2708,129,72007,74746,74,176,198,5590,52587,16621,9224,35626,30146,122026,142093,46719,17275
JAWA TENGAH,BLORA,5347,320,105567,110852,495,313,7589,9574,78880,15617,24037,70135,17488,181228,139402,55391,14531
JAWA TENGAH,BOYOLALI,4724,312,91118,96330,219,263,335,7932,70301,18244,27903,56045,12864,158605,127794,53306,11828
JAWA TENGAH,BREBES,26963,1141,231587,261551,1446,982,13940,48985,176266,24787,29813,136283,97882,425865,537049,178095,70572
JAWA TENGAH,CILACAP,12116,1365,194609,208230,16,1091,7341,13206,131699,57091,43119,127393,38825,276824,394804,136061,34300
JAWA TENGAH,DEMAK,9808,611,138813,150288,0,0,33236,23494,77561,15997,37456,86148,26684,211985,262238,98825,21801
JAWA TENGAH,GROBOGAN,12157,429,175991,189218,75,377,30325,9966,99452,49927,42656,120269,26745,275721,255239,97264,29298
JAWA TENGAH,JEPARA,13019,502,136989,150794,612,348,4545,13112,75778,58318,49013,87167,15572,219201,254484,93037,23974
JAWA TENGAH,KARANGANYAR,5682,448,70499,76993,0,159,378,13060,59408,4306,11737,58146,7269,126279,125985,45715,9762
JAWA TENGAH,KEBUMEN,10324,749,144122,155619,0,1031,2195,3115,110402,40938,21634,100026,34990,254639,285739,118127,23078
JAWA TENGAH,KENDAL,10708,530,85489,97329,0,221,3194,16767,62136,15452,15380,49817,32353,136625,161699,52243,14849
JAWA TENGAH,KLATEN,18847,989,146273,167988,0,508,725,9601,139481,18688,37701,106244,24549,239549,263086,95739,15478
JAWA TENGAH,KOTA MAGELANG,2564,1440,4826,9116,0,21,31,6054,2911,141,2002,6639,496,14044,16929,5951,1393
JAWA TENGAH,KOTA PEKALONGAN,7347,534,20470,29514,69,43,780,9013,18851,982,7883,19599,2144,53254,55667,22290,6633
JAWA TENGAH,KOTA SALATIGA,1243,379,7296,9132,18,20,44,4295,4307,524,2036,6792,342,15037,14978,6185,1003
JAWA TENGAH,KOTA SEMARANG,16626,5271,53665,77643,340,0,13679,28508,33974,1822,20859,54891,2233,116081,134869,52273,10463
JAWA TENGAH,KOTA SURAKARTA,10917,6168,20673,40849,133,85,2900,12074,25295,798,21878,18972,217,63982,67839,28105,4350
JAWA TENGAH,KOTA TEGAL,6172,807,12548,21945,0,45,403,20488,955,144,7067,12748,2175,33963,43425,16501,4661
JAWA TENGAH,KUDUS,3278,489,53717,57596,1,55,3660,6611,42921,4459,6696,45674,5281,102871,95813,36892,10612
JAWA TENGAH,MAGELANG,8696,1129,142625,152481,536,560,288,16253,101444,35592,41022,83105,29450,277574,236761,96690,27889
JAWA TENGAH,PATI,11716,514,164527,177824,0,2,25166,26612,109024,17024,37578,118695,21552,239592,284287,85359,21934
JAWA TENGAH,PEKALONGAN,7212,398,92910,101105,1570,433,1355,4741,79750,17259,14988,54440,33677,202941,221457,80643,29902
JAWA TENGAH,PEMALANG,13766,796,153280,167819,0,679,5776,13732,124555,24435,20808,91578,56112,274312,372936,127127,44831
JAWA TENGAH,PURBALINGGA,4766,320,111266,116844,5,801,1564,11307,68498,36281,15257,63267,39126,202746,221970,81955,25376
JAWA TENGAH,PURWOREJO,11008,794,68477,80911,9,576,133,3213,55188,22962,17444,47829,16223,122274,122338,49561,10165
JAWA TENGAH,REMBANG,3575,267,86905,91040,72,59,18899,7655,59533,5083,13312,56222,21636,143354,146615,51622,12849
JAWA TENGAH,SEMARANG,4498,305,68526,73540,0,55,520,4913,53596,14566,13493,47998,12104,124038,105734,42378,10918
JAWA TENGAH,SRAGEN,7410,274,73426,81039,293,264,2680,12005,61128,5783,22695,51735,7166,116501,118979,44073,9344
JAWA TENGAH,SUKOHARJO,8542,1496,73552,84578,16,46,1952,5813,71926,4949,22661,55712,6267,133450,134510,47859,9010
JAWA TENGAH,TEGAL,21406,1219,141134,164794,1602,674,5555,19278,118713,23524,22072,97364,47633,255316,366843,122946,42899
JAWA TENGAH,TEMANGGUNG,2957,692,77134,80946,173,118,124,9842,56886,14384,20822,48822,11593,151855,118282,46593,15101
JAWA TENGAH,WONOGIRI,2579,65,90222,92534,474,328,273,10919,69109,13035,11026,77526,4784,170960,123385,44551,12368
JAWA TENGAH,WONOSOBO,4865,436,82390,87562,151,324,95,17424,50569,19949,38696,42918,6423,145219,129650,46109,19374
JAWA TIMUR,BANGKALAN,3650,1013,122504,125153,1889,1047,4729,3173,93916,26271,27481,87036,13572,250263,196760,72182,34205
JAWA TIMUR,BANYUWANGI,17515,2384,159165,179788,2428,476,5005,15548,138480,23657,22095,78957,81638,242222,242535,80766,22608
JAWA TIMUR,BLITAR,9049,622,102002,111138,668,495,421,10808,82228,18844,19187,75469,17645,149627,166487,50865,14563
JAWA TIMUR,BOJONEGORO,2802,343,160901,162473,1467,681,11847,8226,131825,12723,29850,86927,47844,251192,250430,85059,20092
JAWA TIMUR,BONDOWOSO,3233,428,148313,148440,2378,1530,260,7657,117060,27371,29125,13281,109942,217671,183895,66776,17647
JAWA TIMUR,GRESIK,4722,1347,88941,94372,1088,361,53147,6513,28569,7592,11237,79871,4713,144819,185651,65720,11762
JAWA TIMUR,JEMBER,14326,2383,275696,288442,5429,1419,2418,5716,225844,61312,36551,70788,187950,382915,472806,143127,53190
JAWA TIMUR,JOMBANG,12420,1551,135393,150973,751,356,10022,5228,130653,6177,26855,90280,34945,205107,256864,89791,18799
JAWA TIMUR,KEDIRI,17092,1716,135479,153072,1361,649,804,4872,130752,18653,30369,93987,30726,207427,250516,81944,21097
JAWA TIMUR,KOTA BATU,548,339,10586,11448,35,37,52,2421,8840,207,1190,9430,900,20461,16975,7056,1553
JAWA TIMUR,KOTA BLITAR,946,296,5831,7106,14,33,291,463,5563,836,1261,5500,392,11355,11934,4865,838
JAWA TIMUR,KOTA KEDIRI,4174,1717,14730,21146,40,42,1403,762,18846,217,4916,15600,712,29233,34131,12704,2053
JAWA TIMUR,KOTA MADIUN,1921,863,4222,7499,14,15,2169,2418,2879,62,1763,5642,123,10418,12366,4402,770
JAWA TIMUR,KOTA MALANG,4043,2457,23974,30901,177,99,927,10655,18595,1000,4686,24348,2143,47161,58562,20050,5276
JAWA TIMUR,KOTA MOJOKERTO,1211,652,4892,6965,0,8,2603,72,4284,14,1735,4830,408,10477,11465,4598,731
JAWA TIMUR,KOTA PASURUAN,1640,984,11682,14321,0,14,2428,5389,6455,63,3661,7953,2721,21859,26675,9999,2400
JAWA TIMUR,KOTA PROBOLINGGO,1396,484,15460,17534,0,12,2487,1197,13822,40,4197,9660,3689,26375,31234,11852,2676
JAWA TIMUR,KOTA SURABAYA,24748,32658,81686,146796,2108,236,77307,68116,3388,328,57482,90826,828,202425,288473,99066,19764
JAWA TIMUR,LAMONGAN,5408,592,109172,115096,0,84,33537,17617,49455,14571,15743,76298,23139,195122,200709,70903,14333
JAWA TIMUR,LUMAJANG,4390,1153,126774,131878,317,501,1947,18104,100567,12078,23164,70845,38687,209858,195218,59275,24178
JAWA TIMUR,MADIUN,4434,379,67778,72683,342,193,1202,8735,58301,4980,16087,44326,12804,89835,104235,30722,6693
JAWA TIMUR,MAGETAN,2767,236,58077,61623,0,105,568,19949,37708,3503,8407,46381,6940,102874,79606,28952,5363
JAWA TIMUR,MALANG,8374,2211,200102,209734,1902,778,654,30369,152496,28895,37010,149832,25572,309835,331688,102985,37291
JAWA TIMUR,MOJOKERTO,4885,964,73051,79146,538,145,3429,4965,66959,4476,13046,41669,25114,115147,149209,52302,11085
JAWA TIMUR,NGANJUK,12810,974,129862,144762,1033,396,3600,4354,127664,10573,38635,86408,21148,200037,242427,78564,18155
JAWA TIMUR,NGAWI,6207,409,110892,117764,596,425,2796,8191,101122,6676,31596,65727,21462,180314,167324,58931,12932
JAWA TIMUR,PACITAN,646,73,53424,53317,154,814,107,4670,28024,21484,7057,46279,949,107235,51129,22249,7476
JAWA TIMUR,PAMEKASAN,4030,347,119681,123533,675,319,440,8159,92062,23866,52774,53132,18621,237305,187070,80777,20504
JAWA TIMUR,PASURUAN,4742,1425,191026,194665,3037,867,3059,21856,149988,23666,47088,66832,84649,256554,330548,95143,37310
JAWA TIMUR,PONOROGO,6082,224,103463,108966,571,498,783,5175,88368,15709,24939,72068,13028,179384,141502,46827,11328
JAWA TIMUR,PROBOLINGGO,5429,472,177755,180224,2864,1265,2023,19514,130827,31989,41698,36290,106365,271536,270479,89756,31124
JAWA TIMUR,SAMPANG,4508,127,131453,135414,444,413,657,9129,78448,48037,32283,74125,29862,290130,208821,99294,36016
JAWA TIMUR,SIDOARJO,7171,4886,104549,116683,425,128,19928,22357,72865,2086,17353,75003,24880,156643,220399,73438,12412
JAWA TIMUR,SITUBONDO,4527,842,103207,107025,1420,747,283,8100,86881,13928,19922,10799,78471,137947,119091,37692,10449
JAWA TIMUR,SUMENEP,3543,412,176204,148281,21586,10695,472,8588,146053,25448,62784,54056,63721,307903,202831,79611,19145
JAWA TIMUR,TRENGGALEK,2026,43,80870,82368,398,312,413,1244,45140,36281,17726,48868,16483,140713,108785,37034,11052
JAWA TIMUR,TUBAN,3897,467,119255,122800,1575,471,19757,17916,79461,7712,21399,55686,47761,184431,212616,64879,20550
JAWA TIMUR,TULUNGAGUNG,5906,595,88872,95597,1061,363,912,9867,75699,10543,20880,65458,10682,144991,136906,45015,11711
KALIMANTAN BARAT,BENGKAYANG,962,47,16276,10375,1199,5869,83,276,4573,12511,801,7190,9452,35245,39055,21068,5618
KALIMANTAN BARAT,KAPUAS HULU,1398,98,24341,14680,4283,7598,367,2928,4223,19043,4472,9616,12473,57640,40810,22353,6296
KALIMANTAN BARAT,KAYONG UTARA,228,22,8311,6662,452,1492,17,0,2196,6393,233,4182,4191,15292,21923,10120,2762
KALIMANTAN BARAT,KETAPANG,2285,413,36492,22967,5156,11777,1431,682,9632,28155,6315,15422,18163,57389,74438,26452,10205
KALIMANTAN BARAT,KOTA PONTIANAK,4696,1745,15226,23181,164,106,829,179,16,22427,3895,18673,883,30731,58997,21025,5147
KALIMANTAN BARAT,KOTA SINGKAWANG,1894,304,11265,12627,501,666,762,1044,2188,9799,1571,9034,3189,22541,31839,13712,4037
KALIMANTAN BARAT,KUBU RAYA,2742,1315,45827,45031,1799,3943,213,103,555,49902,4663,30953,15157,80533,115129,46675,15067
KALIMANTAN BARAT,LANDAK,1554,256,43884,22137,2935,21180,209,3538,7734,34771,2783,15175,28293,103469,84572,48450,11095
KALIMANTAN BARAT,MELAWI,1310,84,15757,6681,1440,9141,349,361,3456,13096,6956,4103,6203,31844,27319,12253,5328
KALIMANTAN BARAT,MEMPAWAH,1309,249,24156,24147,421,1469,258,151,2105,23523,1236,16833,7968,40534,62114,24491,7011
KALIMANTAN BARAT,SAMBAS,2588,300,38003,38360,880,1860,156,285,1010,39649,4598,24350,12152,73198,73709,32900,10528
KALIMANTAN BARAT,SANGGAU,1288,330,28845,14391,3527,13072,834,2110,8153,19893,4242,9535,17213,60257,51168,23875,8232
KALIMANTAN BARAT,SEKADAU,353,35,8600,2225,1722,5077,44,417,1275,7288,878,2432,5714,22073,18781,11070,4155
KALIMANTAN BARAT,SINTANG,2337,388,39236,14706,5191,23028,1361,721,5872,34971,8020,15222,19682,88065,59999,32152,12311
KALIMANTAN SELATAN,BALANGAN,650,55,6720,5926,152,1354,62,1052,2017,4301,1696,3177,2559,12559,11949,6042,1809
KALIMANTAN SELATAN,BANJAR,3769,570,19410,22636,145,1282,626,4212,2565,16660,12614,7805,3644,37519,46651,17388,7586
