Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri,Listrik PLN,Listrik non-PLN,Tidak ada listrik,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung,Jamban Bersama/Umum,Jamban Sendiri,Tidak Ada Jamban,Bekerja,Tidak Bekerja,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
KALIMANTAN SELATAN,TAPIN,587,65,5715,5619,79,735,140,517,1857,3919,4070,1463,900,10478,11444,4491,2035
KALIMANTAN TENGAH,BARITO SELATAN,758,157,6017,3875,684,2553,108,1138,741,5125,4430,1634,1048,10159,13145,5512,1346
KALIMANTAN TENGAH,BARITO TIMUR,385,81,4641,3954,264,900,155,192,1383,3388,1291,2453,1374,8781,7058,3573,866
KALIMANTAN TENGAH,BARITO UTARA,1071,124,5932,3079,1971,2190,156,1170,750,5164,2654,2616,1970,11408,10657,4627,1472
KALIMANTAN TENGAH,GUNUNG MAS,225,10,1162,442,345,656,64,33,219,1127,752,252,439,3194,3560,2017,768
KALIMANTAN TENGAH,KAPUAS,3102,599,26443,23199,1222,6177,757,1191,2972,25678,15484,8477,6637,49676,57286,24460,8645
KALIMANTAN TENGAH,KATINGAN,1078,138,7987,6064,745,2419,426,289,3706,4807,5856,3357,15,12340,17948,6621,2051
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,1493,1460,6126,8680,274,188,1816,455,6444,427,2140,6627,375,13026,19552,8518,1810
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,879,270,8520,8388,856,598,1369,1562,3919,2992,2540,6159,1143,11931,19476,6017,2111
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,3022,572,24075,20128,2831,5101,2791,1854,3368,20047,11050,10737,6273,38659,57267,21359,7149
KALIMANTAN TENGAH,LAMANDAU,217,20,2874,1117,847,1161,158,55,670,2242,1144,1263,718,4664,5514,2107,589
KALIMANTAN TENGAH,MURUNG RAYA,601,48,4870,1205,1733,2753,5,295,780,4611,2793,659,2239,10400,13669,6898,2338
KALIMANTAN TENGAH,PULANG PISAU,885,44,9858,9706,497,805,751,254,1666,8337,3525,5485,1998,18801,19493,8755,2549
KALIMANTAN TENGAH,SERUYAN,582,110,5923,3779,1987,989,661,265,2855,2974,2958,3058,739,7614,13367,4312,1398
KALIMANTAN TENGAH,SUKAMARA,384,43,2202,1498,617,520,130,30,1479,996,658,1167,810,3268,5138,1663,680
KALIMANTAN TIMUR,BERAU,1005,195,6625,4653,1901,1415,900,915,1902,4252,530,5163,2276,10002,17604,6697,1639
KALIMANTAN TIMUR,KOTA BALIKPAPAN,4382,3980,15865,24254,321,118,8372,11449,2844,2028,2461,21563,669,32067,58897,23038,4662
KALIMANTAN TIMUR,KOTA BONTANG,867,1990,4520,6964,377,99,3540,3041,539,320,995,6103,342,9905,21505,8536,2031
KALIMANTAN TIMUR,KOTA SAMARINDA,3800,6028,17268,27017,82,215,12315,10206,2457,2336,3815,22758,741,39144,59615,23539,4843
KALIMANTAN TIMUR,KUTAI BARAT,906,112,8976,4300,3042,2808,667,753,2230,6500,2914,4680,2556,15558,20802,8800,2095
KALIMANTAN TIMUR,KUTAI KARTANEGARA,3130,1293,30738,28039,5140,2640,11869,5246,5687,13017,6347,26140,3332,45090,75161,26717,6394
KALIMANTAN TIMUR,KUTAI TIMUR,3913,1433,16529,10655,8443,3236,7356,2540,2760,9678,4326,14402,3606,28604,48109,18653,4146
KALIMANTAN TIMUR,MAHAKAM HULU,157,26,1905,286,1334,493,35,5,288,1785,501,780,832,4324,4324,1945,467
KALIMANTAN TIMUR,PASER,1640,375,18847,14256,4921,2249,3515,2168,3357,12386,1436,16284,3706,26827,44096,15971,4494
KALIMANTAN TIMUR,PENAJAM PASER UTARA,981,260,9131,9910,246,347,3999,601,2333,3570,1226,7747,1530,14731,26169,10806,2354
KALIMANTAN UTARA,BULUNGAN,600,80,4673,3422,1003,970,436,378,319,4262,709,3575,1111,8494,11471,4723,1467
KALIMANTAN UTARA,KOTA TARAKAN,1656,1911,6524,9879,169,132,3427,1615,1131,4007,926,8405,849,14498,29184,11525,3021
KALIMANTAN UTARA,MALINAU,269,67,4295,2636,1122,896,381,990,298,2985,253,2806,1595,8981,9677,4903,1311
KALIMANTAN UTARA,NUNUKAN,1749,738,10243,6429,2989,3482,1459,1090,1217,9134,2512,5935,4453,20367,34051,15542,3967
KALIMANTAN UTARA,TANA TIDUNG,80,5,604,324,210,159,32,5,63,593,122,347,224,965,1893,738,218
KEPULAUAN BANGKA BELITUNG,BANGKA,976,255,13642,14370,211,433,3086,655,7489,3784,631,10652,3731,20598,27421,10262,2970
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,198,39,5956,5691,184,324,327,136,2825,2911,264,2623,3312,9404,13198,5237,2297
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,521,128,7360,7016,664,365,1849,68,4042,2086,510,4487,3048,10546,15187,4761,2190
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,539,200,9501,9759,292,279,2649,166,4473,3042,701,7679,1950,13430,20101,7042,2410
KEPULAUAN BANGKA BELITUNG,BELITUNG,623,175,9141,9078,278,592,3016,106,3486,3340,1045,5681,3222,12587,16949,4906,1694
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,381,85,6879,6663,378,373,3099,84,2071,2160,597,4130,2687,10012,13297,3915,1221
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1105,667,6642,8535,87,20,4238,110,3735,559,454,7878,310,10446,18378,6195,1684
KEPULAUAN RIAU,BINTAN,755,562,4532,4895,803,233,1394,253,2211,2073,477,5004,450,8264,16390,7022,1455
KEPULAUAN RIAU,KARIMUN,862,579,12190,10017,2251,1501,724,1033,7605,4407,1067,10496,2206,18950,30276,10583,3029
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,38,7,656,347,338,20,78,1,40,586,39,627,39,1022,2366,1086,285
KEPULAUAN RIAU,KOTA BATAM,1784,4995,32759,33335,5373,1195,20905,7532,5569,5897,2329,36864,710,43757,96235,43143,6661
KEPULAUAN RIAU,KOTA TANJUNG PINANG,1563,2526,5849,9905,215,97,3237,1128,4823,1028,894,9139,184,13966,22323,9560,1466
KEPULAUAN RIAU,LINGGA,195,45,6914,3477,2977,749,282,555,3885,2481,591,5466,1145,8535,15011,4515,1526
KEPULAUAN RIAU,NATUNA,112,43,2380,1394,884,302,209,178,1191,1002,96,1731,753,2609,7209,2777,526
LAMPUNG,KOTA BANDAR LAMPUNG,17607,12484,49563,79408,922,321,23487,9443,40226,7494,17128,59324,4198,111006,194753,72427,14511
LAMPUNG,KOTA METRO,1163,578,6755,8515,0,0,650,30,5480,2355,1538,6845,132,12704,18098,6754,1347
LAMPUNG,LAMPUNG BARAT,3361,771,29147,17787,10226,5432,166,4891,9992,18396,3235,23930,6280,70753,41517,24399,6428
LAMPUNG,LAMPUNG SELATAN,10796,1860,118582,128446,2508,1184,11248,1200,79605,40083,23982,94631,13521,178697,264264,97485,26218
LAMPUNG,LAMPUNG TENGAH,9727,1120,111489,116855,4424,1621,775,358,60963,60804,23954,95848,3098,182185,208654,78103,24525
LAMPUNG,LAMPUNG TIMUR,8348,799,99346,105304,1986,1826,3144,1757,55868,48347,16006,91335,1775,155310,192846,72598,20452
LAMPUNG,LAMPUNG UTARA,6791,1476,64648,68657,1466,3336,271,599,22292,50297,9219,58509,5731,105739,149769,59587,15752
LAMPUNG,MESUJI,1602,77,20324,11856,8728,1639,3978,71,8750,9424,3512,18544,167,32063,37964,13886,5024
LAMPUNG,PESAWARAN,5146,817,55795,57097,2207,2617,1774,1649,34742,23756,8885,34060,18976,85260,127328,45700,12852
LAMPUNG,PESISIR BARAT,931,215,18412,10305,3419,5906,534,130,8990,9976,2009,8889,8732,37985,37152,19012,3894
LAMPUNG,PRINGSEWU,3438,512,32422,35303,415,774,5155,436,23020,7881,9315,20375,6802,50676,74072,27302,7706
LAMPUNG,TANGGAMUS,4674,870,60062,52677,5840,7594,431,1148,28398,36134,7897,29993,28221,112233,130050,54168,15812
LAMPUNG,TULANG BAWANG BARAT,1954,94,20655,21058,618,1069,181,51,3573,18940,3514,18777,454,33629,39437,14983,5219
LAMPUNG,TULANGBAWANG,3295,510,37930,27713,10664,3479,6032,1059,20868,13897,5628,35298,930,58602,82242,30391,9844
LAMPUNG,WAY KANAN,3640,373,42952,40363,3166,3512,137,60,17219,29625,8210,33883,4948,75857,82592,35025,9547
MALUKU,BURU,252,29,8194,4594,571,3365,169,335,4453,3573,998,2482,5050,15167,23031,12549,3504
MALUKU,BURU SELATAN,123,8,5545,2784,1063,1886,3,524,3012,2194,883,1160,3690,10949,16086,9477,1984
MALUKU,KEPULAUAN ARU,366,17,6284,542,753,5405,13,287,1886,4513,2294,701,3705,14339,18623,10296,2775
MALUKU,KOTA AMBON,4220,870,13894,18462,48,556,562,4940,12283,1281,4194,11793,3079,23428,56321,24274,3598
MALUKU,KOTA TUAL,271,23,4050,2653,530,1164,90,182,2718,1357,687,2100,1560,7291,14433,7464,956
MALUKU,MALUKU BARAT DAYA,666,13,9293,3189,2368,4487,10,139,9037,858,1670,3429,4945,22247,21092,13287,2579
MALUKU,MALUKU TENGAH,5868,367,29916,31250,849,5433,232,3862,23825,9613,4363,16755,16414,49951,113518,52916,7642
MALUKU,MALUKU TENGGARA,425,22,6505,3214,274,3470,16,413,5159,1370,611,2719,3628,16706,21318,13391,2395
MALUKU,MALUKU TENGGARA BARAT,763,28,10792,4672,2373,4705,40,1121,9396,1193,2667,4061,5022,26482,28145,17963,2923
MALUKU,SERAM BAGIAN BARAT,1700,59,17836,15093,537,4199,25,264,12963,6577,3758,4781,11290,34246,56846,32145,5562
MALUKU,SERAM BAGIAN TIMUR,252,10,8697,3914,486,4585,37,0,4776,4172,380,775,7830,14200,26303,14422,2823
MALUKU UTARA,HALMAHERA BARAT,371,7,6743,5270,610,1283,26,604,4361,2172,3020,1588,2555,13466,16668,9786,1394
MALUKU UTARA,HALMAHERA SELATAN,385,12,9082,3917,2445,3164,18,710,5097,3701,3209,1911,4406,16294,30184,15517,3614
MALUKU UTARA,HALMAHERA TENGAH,405,13,3623,2103,1461,484,29,44,2572,1403,1273,1276,1499,7273,11286,6257,1167
MALUKU UTARA,HALMAHERA TIMUR,249,20,5981,3763,1072,1442,104,0,2963,3210,2129,1548,2600,11816,14087,7102,1721
MALUKU UTARA,HALMAHERA UTARA,376,24,6054,4331,897,1275,47,421,3135,2900,3556,1204,1743,10407,19215,9179,3187
MALUKU UTARA,KEPULAUAN SULA,520,29,3714,2090,324,1933,22,214,2348,1763,558,1407,2382,6000,13353,6845,1335
MALUKU UTARA,KOTA TERNATE,346,67,3091,2349,710,460,46,1219,1461,793,761,2330,428,5560,8769,4228,764
MALUKU UTARA,KOTA TIDORE KEPULAUAN,369,14,5607,5871,120,86,46,292,3722,2017,1955,3283,839,11232,13556,6759,1175
MALUKU UTARA,PULAU MOROTAI,172,13,3227,1553,714,1241,9,157,1358,1984,965,158,2385,5859,10427,5371,1479
MALUKU UTARA,PULAU TALIABU,213,2,2266,353,459,1682,4,33,701,1756,214,587,1693,3943,6162,2973,1124
NUSA TENGGARA BARAT,BIMA,8120,79,53464,56596,1328,3991,107,3314,52540,5954,12808,17041,32066,80476,127445,60016,8976
NUSA TENGGARA BARAT,DOMPU,3143,161,27346,28770,309,1628,115,3457,25608,1527,5067,7902,17738,38293,64987,30564,4535
NUSA TENGGARA BARAT,KOTA BIMA,2713,218,12591,15308,118,214,300,1862,12774,704,6285,4994,4361,19889,33968,14517,2052
NUSA TENGGARA BARAT,KOTA MATARAM,8246,1236,24883,35410,219,91,2732,18145,13648,1195,15570,14545,5605,48653,78360,29365,7255
NUSA TENGGARA BARAT,LOMBOK BARAT,7669,340,93895,98393,2425,2447,3601,14100,69851,15713,21134,28553,53578,124156,195534,73407,17278
NUSA TENGGARA BARAT,LOMBOK TENGAH,8886,387,153336,160013,1564,1749,4173,16610,120220,22323,28671,55920,78735,169624,293000,104718,23899
NUSA TENGGARA BARAT,LOMBOK TIMUR,27458,588,188030,215638,1906,2706,3189,19268,172771,25022,49404,83142,87703,232017,412537,157271,31676
NUSA TENGGARA BARAT,LOMBOK UTARA,1987,77,34249,34333,1211,977,470,5456,22972,7623,6299,11975,18247,51820,63866,26495,7247
NUSA TENGGARA BARAT,SUMBAWA,3329,280,38884,38179,1756,2874,1815,6614,27254,7126,4432,14768,23609,61042,84091,33931,8432
NUSA TENGGARA BARAT,SUMBAWA BARAT,1072,194,13306,13837,420,324,1707,2094,10188,592,2070,8065,4446,18083,32401,12170,2485
NUSA TENGGARA TIMUR,ALOR,429,31,25567,11850,4057,10270,20,1552,13832,10773,4214,13623,8340,58687,48752,31854,6825
NUSA TENGGARA TIMUR,BELU,1554,267,18491,11054,1450,8464,105,1404,11556,7903,4571,10595,5802,35876,47010,26218,6064
NUSA TENGGARA TIMUR,ENDE,875,51,26192,21403,816,5539,29,1641,22129,3959,7178,13131,7449,59469,53304,32112,5987
NUSA TENGGARA TIMUR,FLORES TIMUR,861,74,21013,16971,957,4194,61,1126,19666,1269,2737,14373,5012,44947,49135,28905,6153
NUSA TENGGARA TIMUR,KOTA KUPANG,3640,2260,13207,19060,128,371,413,7326,8385,3435,6512,12807,240,25622,55356,26621,3085
NUSA TENGGARA TIMUR,KUPANG,1163,53,34451,20452,1761,13667,48,1507,20274,14051,3457,28483,3940,72901,86794,51778,9647
NUSA TENGGARA TIMUR,LEMBATA,658,53,16279,9303,3901,4003,35,1398,11538,4235,1583,13871,1753,27635,33074,16767,3283
NUSA TENGGARA TIMUR,MALAKA,474,27,21612,9126,440,12789,17,431,11970,9937,4495,6489,11371,45811,48178,30523,6480
NUSA TENGGARA TIMUR,MANGGARAI,2069,128,33712,18264,3006,15418,28,3288,22489,10883,4614,19562,12512,81375,80430,55810,9952
NUSA TENGGARA TIMUR,MANGGARAI BARAT,3166,43,30174,10943,3107,20166,100,2654,18375,13087,5273,15147,13796,63533,76965,48005,7534
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,667,39,38835,6497,5237,27928,0,1395,24547,13720,3031,28958,7673,94320,77643,54288,11654
NUSA TENGGARA TIMUR,NAGEKEO,255,12,10909,7093,492,3664,13,808,8588,1840,1267,7370,2612,26367,26145,15627,3141
NUSA TENGGARA TIMUR,NGADA,238,37,10678,7814,489,3571,43,2535,7133,2163,1068,8596,2210,27442,24797,16248,3074
NUSA TENGGARA TIMUR,ROTE NDAO,597,36,17827,11023,2198,5390,25,469,9074,9043,1243,7197,10171,31074,39713,21469,4091
NUSA TENGGARA TIMUR,SABU RAIJUA,222,5,14399,3764,2360,8564,47,107,5688,8846,1841,10029,2817,25270,31383,18294,3004
NUSA TENGGARA TIMUR,SIKKA,1061,133,32943,18828,1261,14152,154,3763,19610,10714,3630,19413,11198,70334,71783,38946,9581
NUSA TENGGARA TIMUR,SUMBA BARAT,605,70,15229,3846,784,11383,19,54,7024,8916,1107,5019,9887,34434,41696,27371,3678
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,184,23,45799,6336,1698,38099,194,850,14194,30894,1629,24600,19904,128678,100578,84011,14755
NUSA TENGGARA TIMUR,SUMBA TENGAH,163,13,9212,1591,1283,6577,2,2,3860,5587,326,6702,2423,25554,18039,15581,1797
NUSA TENGGARA TIMUR,SUMBA TIMUR,1168,30,24325,6175,1666,18018,13,1844,7072,16930,2392,8642,14825,58906,52935,36374,6489
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,846,120,74056,21665,4888,48782,8,751,28682,45894,7709,65952,1674,140732,140221,86019,16759
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,826,50,30324,15787,1725,13871,29,1304,20966,9084,3380,23941,4062,64614,51973,35670,7021
PAPUA,ASMAT,3003,287,8513,189,1133,10562,10,6,9,11859,1073,1381,9430,24184,14901,6929,6683
PAPUA,BIAK NUMFOR,2142,513,10674,12946,107,798,971,1242,5762,5876,3279,9759,813,22487,29334,15727,2225
PAPUA,BOVEN DIGOEL,37,4,5158,842,1244,3260,6,17,1088,4235,329,738,4279,12085,7609,5294,2192
PAPUA,DEIYAI,0,0,2991,382,1511,1098,4,5,412,2570,5,2947,39,8693,1677,2894,1283
PAPUA,DOGIYAI,1,2,4580,2,455,4126,9,4,495,4075,298,1476,2809,7908,3630,1871,1201
PAPUA,INTAN JAYA,0,1,205,0,6,200,0,0,9,197,0,201,5,446,137,105,81
PAPUA,JAYAPURA,491,31,8602,7720,362,1253,83,496,2628,6127,2576,3402,3357,15288,20746,10339,3057
PAPUA,JAYAWIJAYA,722,4,12420,819,2106,10221,5,12,152,12977,686,1169,11291,27621,4648,4480,2206
PAPUA,KEEROM,918,55,5201,4753,691,780,1115,22,1648,3439,714,4369,1141,11264,9354,5135,1072
PAPUA,KEPULAUAN YAPEN,832,207,6621,3595,378,4093,51,992,3826,3197,3850,3742,474,14477,13085,6716,2070
PAPUA,KOTA JAYAPURA,2908,2540,9816,15117,366,694,3427,6625,4180,1946,6344,8928,906,18976,41962,15706,3253
PAPUA,LANNY JAYA,2,0,5627,2,539,5088,0,6,982,4641,114,2986,2529,12037,5349,1638,4005
PAPUA,MAMBERAMO RAYA,0,0,680,0,512,176,1,0,288,399,21,285,382,1566,1564,890,407
PAPUA,MAMBERAMO TENGAH,0,0,687,0,283,404,0,0,387,300,13,252,422,1713,352,231,557
PAPUA,MAPPI,756,12,9647,429,401,9600,11,46,1822,8551,1072,2428,6930,25731,17056,9887,6989
PAPUA,MERAUKE,1657,418,10802,9973,645,2445,1108,667,4134,7154,2429,9609,1025,22547,30489,14755,3469
PAPUA,MIMIKA,1318,1001,10854,8296,1173,3783,3156,6,1988,8102,3107,7102,3043,18556,28631,11796,4609
PAPUA,NABIRE,619,167,8389,6575,574,2135,632,129,3333,5190,1504,6086,1694,14031,16835,6261,2369
PAPUA,NDUGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPUA,PANIAI,0,0,6883,740,1318,4825,2,2,523,6356,42,6839,2,16067,6473,6667,1371
PAPUA,PEGUNUNGAN BINTANG,0,0,12849,34,2420,10395,3,4,3872,8970,2964,5192,4693,32873,8721,4771,10412
PAPUA,PUNCAK,29,2,11295,0,455,10871,0,0,10,11316,83,89,11154,28170,4438,552,5125
PAPUA,PUNCAK JAYA,205,128,6470,1,2826,4155,1,13,4561,2407,644,686,5652,18586,4465,2057,5111
PAPUA,SARMI,148,7,1879,520,982,561,22,2,283,1756,123,1077,863,3910,4020,2246,625
PAPUA,SUPIORI,29,1,1988,860,166,1006,4,15,825,1188,158,1552,322,2952,5575,2915,431
PAPUA,TOLIKARA,22,65,4197,0,841,3445,105,4,65,4112,137,169,3980,10155,1731,1260,1574
PAPUA,WAROPEN,180,27,1384,1027,238,338,27,5,785,786,427,1132,44,1592,4302,1604,367
PAPUA,YAHUKIMO,4,0,9972,1,95,9880,1,5,343,9627,679,47,9250,24880,5744,2163,6614
PAPUA,YALIMO,13,0,4869,0,1963,2928,0,0,2516,2375,175,2320,2396,19963,3229,2241,8223
PAPUA BARAT,FAKFAK,784,255,6941,4972,1821,1287,56,1544,1928,4552,2814,4228,1038,12339,20244,9615,1563
PAPUA BARAT,KAIMANA,539,80,3876,867,1194,2463,58,80,1335,3051,1942,1155,1427,8818,9064,5097,1874
PAPUA BARAT,KOTA SORONG,2669,2218,6920,11465,322,187,3811,1341,3899,2923,5262,6244,468,11085,38612,15342,3547
PAPUA BARAT,MANOKWARI,1139,263,9040,9029,406,1311,635,314,5175,4622,2544,6527,1675,19072,19599,9700,3422
PAPUA BARAT,MANOKWARI SELATAN,221,11,3433,1730,674,1289,8,75,1199,2411,1528,1224,941,9407,4211,2971,1607
PAPUA BARAT,MAYBRAT,418,11,3800,1809,1786,635,5,7,1522,2696,2686,1206,338,9370,4611,3488,736
PAPUA BARAT,PEGUNUNGAN ARFAK,315,1,6424,30,1171,5655,4,5,1216,5631,1508,2513,2835,15231,5538,3169,2965
PAPUA BARAT,RAJA AMPAT,170,26,4000,341,2712,1253,42,75,1795,2394,2580,1266,460,6267,14045,7005,1239
PAPUA BARAT,SORONG,843,111,6984,4932,2246,859,429,10,926,6672,2850,4602,585,12404,17664,8759,1795
PAPUA BARAT,SORONG SELATAN,708,10,2611,315,582,2441,10,12,336,2980,1448,261,1629,8286,7724,5438,1315
PAPUA BARAT,TAMBRAUW,56,0,2273,565,809,961,2,6,1155,1172,1137,510,688,4829,4418,2651,869
PAPUA BARAT,TELUK BINTUNI,458,116,4301,1915,1790,1263,228,6,1264,3470,1456,1915,1597,8145,12780,6418,1660
PAPUA BARAT,TELUK WONDAMA,178,24,2319,271,416,1879,23,0,255,2288,1580,495,491,4925,6173,3360,1015
RIAU,BENGKALIS,2142,1696,24843,22221,3718,3104,4055,197,4062,20729,1683,24718,2642,41091,65972,26733,7244
RIAU,INDRAGIRI HILIR,2667,1593,35526,15078,9351,15905,406,33,672,39223,4090,23244,13000,57543,94235,35530,13431
RIAU,INDRAGIRI HULU,3514,1063,28925,23654,3725,6485,7447,1072,10754,14591,2952,21526,9386,50090,75093,30767,8672
RIAU,KAMPAR,7573,4281,44464,50362,4552,2557,10304,1408,34006,11752,5583,42310,9578,73655,140104,59516,10386
RIAU,KEPULAUAN MERANTI,1063,459,21894,12805,6504,4311,353,25,889,22353,1130,19925,2564,41284,50496,22096,5764
RIAU,KOTA DUMAI,1839,3669,10225,14629,768,485,8981,972,3232,2697,1031,14388,463,20781,41796,18269,3505
RIAU,KOTA PEKANBARU,4778,11690,10326,26473,208,307,14751,120,10655,1462,3629,22595,764,37711,68644,34028,5160
RIAU,KUANTAN SINGINGI,2102,519,16836,17689,522,1459,2962,150,9816,6742,1624,9913,8133,25368,41302,16485,3528
RIAU,PELALAWAN,2107,2239,15008,9825,5711,4611,5559,90,5519,8979,2382,14133,3632,27725,44520,19017,4799
RIAU,ROKAN HILIR,6733,3877,38927,38606,6641,5249,6030,369,9692,34404,4795,43758,1942,61680,132131,54812,12060
RIAU,ROKAN HULU,5044,1851,22160,18705,7047,3764,4650,328,15329,9209,3135,18429,7952,36947,63336,25262,7256
RIAU,S I A K,2572,1927,16791,14180,5483,2387,7679,193,5831,8347,1565,19101,1384,27654,52858,22140,4488
SULAWESI BARAT,MAJENE,745,53,17211,15393,1265,1446,709,2510,10728,4157,3647,5350,9107,29062,49657,23988,6023
SULAWESI BARAT,MAMASA,1568,43,18802,3348,12263,5107,10,191,2524,17993,4810,6170,9738,43527,38863,24050,6316
SULAWESI BARAT,MAMUJU,1181,42,17244,10914,2840,4824,325,1220,8228,8805,1679,3728,13171,31172,41586,20890,6512
SULAWESI BARAT,MAMUJU TENGAH,473,18,6372,3355,1401,2139,160,10,2011,4714,690,2216,3989,11639,15291,7706,2169
SULAWESI BARAT,MAMUJU UTARA,800,25,9034,4064,3601,2303,816,13,4799,4340,1087,2771,6110,15909,23910,11820,3486
SULAWESI BARAT,POLEWALI MANDAR,2091,110,40563,32650,6241,4044,669,2794,24110,15362,6316,13733,22886,75089,94305,45666,13554
SULAWESI SELATAN,BANTAENG,1118,76,15439,14752,793,1293,191,3451,10596,2600,3245,5723,7870,24825,34379,11364,6342
SULAWESI SELATAN,BARRU,1225,85,15003,13690,913,1922,623,1355,12102,2445,1840,9770,4915,15420,41424,13403,3409
SULAWESI SELATAN,BONE,4333,517,74720,69445,2743,7967,1394,3893,53664,21204,6769,41585,31801,120832,171493,62940,20835
SULAWESI SELATAN,BULUKUMBA,2674,134,32479,32415,493,2625,2161,2678,20825,9869,3158,22541,9834,42574,77154,25502,9093
SULAWESI SELATAN,ENREKANG,2107,56,17454,16811,1806,1202,153,1173,9805,8688,2699,11522,5598,36999,40594,23539,4016
SULAWESI SELATAN,GOWA,4136,660,64876,66975,905,2147,5079,1740,51487,11720,10337,47632,12056,95018,159259,60311,15914
SULAWESI SELATAN,JENEPONTO,5288,105,45818,50619,329,661,1964,6222,38171,5252,7055,16591,27963,77380,110519,40913,14299
SULAWESI SELATAN,KEPULAUAN SELAYAR,704,27,12727,6495,4954,2126,665,1632,9585,1693,855,4181,8539,17146,28199,11551,2636
SULAWESI SELATAN,KOTA MAKASSAR,11577,10410,27527,49140,1214,162,13350,28199,8012,955,17347,30330,2838,59252,149589,56926,15316
SULAWESI SELATAN,KOTA PALOPO,1057,714,5430,6999,4,272,469,2353,2672,1781,1189,3801,2285,8350,24445,10431,2301
SULAWESI SELATAN,KOTA PAREPARE,1537,779,4710,7053,0,83,1302,2581,3108,144,2413,3714,1008,9329,18928,7928,1811
SULAWESI SELATAN,LUWU,3090,136,30067,24725,3755,5217,814,454,17015,15414,2301,10468,20927,47906,86831,40825,9081
SULAWESI SELATAN,LUWU TIMUR,1414,125,16825,15215,997,2301,768,433,8559,8753,2777,10025,5711,26464,43129,19625,4250
SULAWESI SELATAN,LUWU UTARA,3028,143,28674,24675,4524,2764,927,301,19768,10967,3749,16196,12018,53633,67230,33496,7900
SULAWESI SELATAN,MAROS,1823,183,28313,26701,1497,2290,2563,1553,13582,12790,4726,12934,12828,38971,79067,28613,8524
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,3142,181,28438,23864,5312,2911,2994,3358,15011,10724,5224,9629,17234,38403,86391,30231,9940
SULAWESI SELATAN,PINRANG,2275,182,20460,19800,2246,961,1071,397,17499,4040,1084,14383,7540,27650,55411,21062,5985
SULAWESI SELATAN,SIDENRENG RAPPANG,2712,190,18359,19354,912,1164,537,1565,17269,2059,4707,10909,5814,23658,53426,16973,5364
SULAWESI SELATAN,SINJAI,785,55,19884,16516,1332,3023,158,1806,10679,8228,1746,12115,7010,32546,44370,19267,5167
SULAWESI SELATAN,SOPPENG,1497,160,19881,18156,1032,2464,196,1331,16545,3580,2735,15318,3599,26199,45746,14279,4597
SULAWESI SELATAN,TAKALAR,1824,126,32096,32663,830,645,1134,8531,19994,4479,6830,15932,11376,41303,88590,29999,8421
SULAWESI SELATAN,TANA TORAJA,3009,111,20581,14024,6618,3615,24,642,11587,12004,2234,17290,4733,57488,42396,31142,5660
SULAWESI SELATAN,TORAJA UTARA,3039,156,15904,18323,3039,2303,69,903,9193,13500,3923,16156,3586,49547,52031,33830,5791
SULAWESI SELATAN,WAJO,2809,141,26716,25625,605,3654,1087,2590,15702,10505,3087,19065,7732,36126,68764,18634,9301
SULAWESI TENGAH,BANGGAI,3325,325,30901,27844,2139,5149,948,2754,18560,12870,4672,13476,16984,48486,70571,29541,6993
SULAWESI TENGAH,BANGGAI KEPULAUAN,537,23,11575,5585,1745,4861,156,1655,7864,2516,2242,3940,6009,19707,23253,11407,3176
SULAWESI TENGAH,BANGGAI LAUT,382,16,3859,2300,911,1058,25,591,2785,868,1015,1122,2132,5363,9794,4116,1047
SULAWESI TENGAH,BUOL,1000,89,12197,8400,1435,3566,571,1418,6064,5348,1602,4231,7568,17685,37803,17554,4147
SULAWESI TENGAH,DONGGALA,2524,165,29272,20442,3519,8335,336,2199,16860,12901,3107,6341,22848,48610,79092,35742,10379
SULAWESI TENGAH,KOTA PALU,2227,1399,9453,12786,118,299,2064,1073,9057,1009,4168,7078,1957,19860,32262,14556,3189
SULAWESI TENGAH,MOROWALI,450,18,9447,5312,3591,1109,399,133,6376,3104,729,5213,4070,11603,23833,9114,2143
SULAWESI TENGAH,MOROWALI UTARA,663,37,9019,6139,1306,2446,234,336,4877,4444,800,5003,4088,16211,19554,9059,2488
SULAWESI TENGAH,PARIGI MOUTONG,3223,229,40053,32969,1392,9627,1322,1120,23535,18011,4464,8645,30878,68065,103332,43307,16367
