Provinsi,NamaKab/Kota,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung
JAWA TENGAH,BANJARNEGARA,323,2132,59766,43961
JAWA TENGAH,BANYUMAS,5302,8689,133862,73598
JAWA TENGAH,BATANG,198,5590,52587,16621
JAWA TENGAH,BLORA,7589,9574,78880,15617
JAWA TENGAH,BOYOLALI,335,7932,70301,18244
JAWA TENGAH,BREBES,13940,48985,176266,24787
JAWA TENGAH,CILACAP,7341,13206,131699,57091
JAWA TENGAH,DEMAK,33236,23494,77561,15997
JAWA TENGAH,GROBOGAN,30325,9966,99452,49927
JAWA TENGAH,JEPARA,4545,13112,75778,58318
JAWA TENGAH,KARANGANYAR,378,13060,59408,4306
JAWA TENGAH,KEBUMEN,2195,3115,110402,40938
JAWA TENGAH,KENDAL,3194,16767,62136,15452
JAWA TENGAH,KLATEN,725,9601,139481,18688
JAWA TENGAH,KOTA MAGELANG,31,6054,2911,141
JAWA TENGAH,KOTA PEKALONGAN,780,9013,18851,982
JAWA TENGAH,KOTA SALATIGA,44,4295,4307,524
JAWA TENGAH,KOTA SEMARANG,13679,28508,33974,1822
JAWA TENGAH,KOTA SURAKARTA,2900,12074,25295,798
JAWA TENGAH,KOTA TEGAL,403,20488,955,144
JAWA TENGAH,KUDUS,3660,6611,42921,4459
JAWA TENGAH,MAGELANG,288,16253,101444,35592
JAWA TENGAH,PATI,25166,26612,109024,17024
JAWA TENGAH,PEKALONGAN,1355,4741,79750,17259
JAWA TENGAH,PEMALANG,5776,13732,124555,24435
JAWA TENGAH,PURBALINGGA,1564,11307,68498,36281
JAWA TENGAH,PURWOREJO,133,3213,55188,22962
JAWA TENGAH,REMBANG,18899,7655,59533,5083
JAWA TENGAH,SEMARANG,520,4913,53596,14566
JAWA TENGAH,SRAGEN,2680,12005,61128,5783
JAWA TENGAH,SUKOHARJO,1952,5813,71926,4949
JAWA TENGAH,TEGAL,5555,19278,118713,23524
JAWA TENGAH,TEMANGGUNG,124,9842,56886,14384
JAWA TENGAH,TOTAL,435973,2536712,717241,0
JAWA TENGAH,WONOGIRI,273,10919,69109,13035
JAWA TENGAH,WONOSOBO,95,17424,50569,19949
JAWA TIMUR,BANGKALAN,4729,3173,93916,26271
JAWA TIMUR,BANYUWANGI,5005,15548,138480,23657
JAWA TIMUR,BLITAR,421,10808,82228,18844
JAWA TIMUR,BOJONEGORO,11847,8226,131825,12723
JAWA TIMUR,BONDOWOSO,260,7657,117060,27371
JAWA TIMUR,GRESIK,53147,6513,28569,7592
JAWA TIMUR,JEMBER,2418,5716,225844,61312
JAWA TIMUR,JOMBANG,10022,5228,130653,6177
JAWA TIMUR,KEDIRI,804,4872,130752,18653
JAWA TIMUR,KOTA BATU,52,2421,8840,207
JAWA TIMUR,KOTA BLITAR,291,463,5563,836
JAWA TIMUR,KOTA KEDIRI,1403,762,18846,217
JAWA TIMUR,KOTA MADIUN,2169,2418,2879,62
JAWA TIMUR,KOTA MALANG,927,10655,18595,1000
JAWA TIMUR,KOTA MOJOKERTO,2603,72,4284,14
JAWA TIMUR,KOTA PASURUAN,2428,5389,6455,63
JAWA TIMUR,KOTA PROBOLINGGO,2487,1197,13822,40
JAWA TIMUR,KOTA SURABAYA,77307,68116,3388,328
JAWA TIMUR,LAMONGAN,33537,17617,49455,14571
JAWA TIMUR,LUMAJANG,1947,18104,100567,12078
JAWA TIMUR,MADIUN,1202,8735,58301,4980
JAWA TIMUR,MAGETAN,568,19949,37708,3503
JAWA TIMUR,MALANG,654,30369,152496,28895
JAWA TIMUR,MOJOKERTO,3429,4965,66959,4476
JAWA TIMUR,NGANJUK,3600,4354,127664,10573
JAWA TIMUR,NGAWI,2796,8191,101122,6676
JAWA TIMUR,PACITAN,107,4670,28024,21484
JAWA TIMUR,PAMEKASAN,440,8159,92062,23866
JAWA TIMUR,PASURUAN,3059,21856,149988,23666
JAWA TIMUR,PONOROGO,783,5175,88368,15709
JAWA TIMUR,PROBOLINGGO,2023,19514,130827,31989
JAWA TIMUR,SAMPANG,657,9129,78448,48037
JAWA TIMUR,SIDOARJO,19928,22357,72865,2086
JAWA TIMUR,SITUBONDO,283,8100,86881,13928
JAWA TIMUR,SUMENEP,472,8588,146053,25448
JAWA TIMUR,TOTAL,408093,2930087,551868,0
JAWA TIMUR,TRENGGALEK,413,1244,45140,36281
JAWA TIMUR,TUBAN,19757,17916,79461,7712
JAWA TIMUR,TULUNGAGUNG,912,9867,75699,10543
KALIMANTAN BARAT,BENGKAYANG,83,276,4573,12511
KALIMANTAN BARAT,KAPUAS HULU,367,2928,4223,19043
KALIMANTAN BARAT,KAYONG UTARA,17,0,2196,6393
KALIMANTAN BARAT,KETAPANG,1431,682,9632,28155
KALIMANTAN BARAT,KOTA PONTIANAK,829,179,16,22427
KALIMANTAN BARAT,KOTA SINGKAWANG,762,1044,2188,9799
KALIMANTAN BARAT,KUBU RAYA,213,103,555,49902
KALIMANTAN BARAT,LANDAK,209,3538,7734,34771
KALIMANTAN BARAT,MELAWI,349,361,3456,13096
KALIMANTAN BARAT,MEMPAWAH,258,151,2105,23523
KALIMANTAN BARAT,SAMBAS,156,285,1010,39649
KALIMANTAN BARAT,SANGGAU,834,2110,8153,19893
KALIMANTAN BARAT,SEKADAU,44,417,1275,7288
KALIMANTAN BARAT,SINTANG,1361,721,5872,34971
KALIMANTAN BARAT,TOTAL,12795,52988,321421,0
KALIMANTAN SELATAN,BALANGAN,62,1052,2017,4301
KALIMANTAN SELATAN,BANJAR,626,4212,2565,16660
KALIMANTAN SELATAN,BARITO KUALA,225,1334,1335,15277
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,599,3014,8908,8990
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,419,1971,15136,9004
KALIMANTAN SELATAN,HULU SUNGAI UTARA,203,5929,10216,9652
KALIMANTAN SELATAN,KOTA BANJAR BARU,1200,767,3620,5194
KALIMANTAN SELATAN,KOTA BANJARMASIN,512,35682,62,377
KALIMANTAN SELATAN,KOTA BARU,457,1700,4296,8280
KALIMANTAN SELATAN,TABALONG,764,3894,4134,10458
KALIMANTAN SELATAN,TANAH BUMBU,2881,1539,2579,9758
KALIMANTAN SELATAN,TANAH LAUT,331,378,4918,11971
KALIMANTAN SELATAN,TAPIN,140,517,1857,3919
KALIMANTAN SELATAN,TOTAL,61989,61643,113841,0
KALIMANTAN TENGAH,BARITO SELATAN,108,1138,741,5125
KALIMANTAN TENGAH,BARITO TIMUR,155,192,1383,3388
KALIMANTAN TENGAH,BARITO UTARA,156,1170,750,5164
KALIMANTAN TENGAH,GUNUNG MAS,64,33,219,1127
KALIMANTAN TENGAH,KAPUAS,757,1191,2972,25678
KALIMANTAN TENGAH,KATINGAN,426,289,3706,4807
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,1816,455,6444,427
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,1369,1562,3919,2992
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,2791,1854,3368,20047
KALIMANTAN TENGAH,LAMANDAU,158,55,670,2242
KALIMANTAN TENGAH,MURUNG RAYA,5,295,780,4611
KALIMANTAN TENGAH,PULANG PISAU,751,254,1666,8337
KALIMANTAN TENGAH,SERUYAN,661,265,2855,2974
KALIMANTAN TENGAH,SUKAMARA,130,30,1479,996
KALIMANTAN TENGAH,TOTAL,8783,30952,87915,0
KALIMANTAN TIMUR,BERAU,900,915,1902,4252
KALIMANTAN TIMUR,KOTA BALIKPAPAN,8372,11449,2844,2028
KALIMANTAN TIMUR,KOTA BONTANG,3540,3041,539,320
KALIMANTAN TIMUR,KOTA SAMARINDA,12315,10206,2457,2336
KALIMANTAN TIMUR,KUTAI BARAT,667,753,2230,6500
KALIMANTAN TIMUR,KUTAI KARTANEGARA,11869,5246,5687,13017
KALIMANTAN TIMUR,KUTAI TIMUR,7356,2540,2760,9678
KALIMANTAN TIMUR,MAHAKAM HULU,35,5,288,1785
KALIMANTAN TIMUR,PASER,3515,2168,3357,12386
KALIMANTAN TIMUR,PENAJAM PASER UTARA,3999,601,2333,3570
KALIMANTAN TIMUR,TOTAL,36924,24397,55872,0
KALIMANTAN UTARA,BULUNGAN,436,378,319,4262
KALIMANTAN UTARA,KOTA TARAKAN,3427,1615,1131,4007
KALIMANTAN UTARA,MALINAU,381,990,298,2985
KALIMANTAN UTARA,NUNUKAN,1459,1090,1217,9134
KALIMANTAN UTARA,TANA TIDUNG,32,5,63,593
KALIMANTAN UTARA,TOTAL,4078,3028,20981,0
KEPULAUAN BANGKA BELITUNG,BANGKA,3086,655,7489,3784
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,327,136,2825,2911
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1849,68,4042,2086
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2649,166,4473,3042
KEPULAUAN BANGKA BELITUNG,BELITUNG,3016,106,3486,3340
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,3099,84,2071,2160
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,4238,110,3735,559
KEPULAUAN BANGKA BELITUNG,TOTAL,1325,28121,17882,0
KEPULAUAN RIAU,BINTAN,1394,253,2211,2073
KEPULAUAN RIAU,KARIMUN,724,1033,7605,4407
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,78,1,40,586
KEPULAUAN RIAU,KOTA BATAM,20905,7532,5569,5897
KEPULAUAN RIAU,KOTA TANJUNG PINANG,3237,1128,4823,1028
KEPULAUAN RIAU,LINGGA,282,555,3885,2481
KEPULAUAN RIAU,NATUNA,209,178,1191,1002
KEPULAUAN RIAU,TOTAL,10680,25324,17474,0
LAMPUNG,KOTA BANDAR LAMPUNG,23487,9443,40226,7494
LAMPUNG,KOTA METRO,650,30,5480,2355
LAMPUNG,LAMPUNG BARAT,166,4891,9992,18396
LAMPUNG,LAMPUNG SELATAN,11248,1200,79605,40083
LAMPUNG,LAMPUNG TENGAH,775,358,60963,60804
LAMPUNG,LAMPUNG TIMUR,3144,1757,55868,48347
LAMPUNG,LAMPUNG UTARA,271,599,22292,50297
LAMPUNG,MESUJI,3978,71,8750,9424
LAMPUNG,PESAWARAN,1774,1649,34742,23756
LAMPUNG,PESISIR BARAT,534,130,8990,9976
LAMPUNG,PRINGSEWU,5155,436,23020,7881
LAMPUNG,TANGGAMUS,431,1148,28398,36134
LAMPUNG,TOTAL,22882,419986,377409,0
LAMPUNG,TULANG BAWANG BARAT,181,51,3573,18940
LAMPUNG,TULANGBAWANG,6032,1059,20868,13897
LAMPUNG,WAY KANAN,137,60,17219,29625
MALUKU,BURU,169,335,4453,3573
MALUKU,BURU SELATAN,3,524,3012,2194
MALUKU,KEPULAUAN ARU,13,287,1886,4513
MALUKU,KOTA AMBON,562,4940,12283,1281
MALUKU,KOTA TUAL,90,182,2718,1357
MALUKU,MALUKU BARAT DAYA,10,139,9037,858
MALUKU,MALUKU TENGAH,232,3862,23825,9613
MALUKU,MALUKU TENGGARA,16,413,5159,1370
MALUKU,MALUKU TENGGARA BARAT,40,1121,9396,1193
MALUKU,SERAM BAGIAN BARAT,25,264,12963,6577
MALUKU,SERAM BAGIAN TIMUR,37,0,4776,4172
MALUKU,TOTAL,12067,89508,36701,0
MALUKU UTARA,HALMAHERA BARAT,26,604,4361,2172
MALUKU UTARA,HALMAHERA SELATAN,18,710,5097,3701
MALUKU UTARA,HALMAHERA TENGAH,29,44,2572,1403
MALUKU UTARA,HALMAHERA TIMUR,104,0,2963,3210
MALUKU UTARA,HALMAHERA UTARA,47,421,3135,2900
MALUKU UTARA,KEPULAUAN SULA,22,214,2348,1763
MALUKU UTARA,KOTA TERNATE,46,1219,1461,793
MALUKU UTARA,KOTA TIDORE KEPULAUAN,46,292,3722,2017
MALUKU UTARA,PULAU MOROTAI,9,157,1358,1984
MALUKU UTARA,PULAU TALIABU,4,33,701,1756
MALUKU UTARA,TOTAL,3694,27718,21699,0
NUSA TENGGARA BARAT,BIMA,107,3314,52540,5954
NUSA TENGGARA BARAT,DOMPU,115,3457,25608,1527
NUSA TENGGARA BARAT,KOTA BIMA,300,1862,12774,704
NUSA TENGGARA BARAT,KOTA MATARAM,2732,18145,13648,1195
NUSA TENGGARA BARAT,LOMBOK BARAT,3601,14100,69851,15713
NUSA TENGGARA BARAT,LOMBOK TENGAH,4173,16610,120220,22323
NUSA TENGGARA BARAT,LOMBOK TIMUR,3189,19268,172771,25022
NUSA TENGGARA BARAT,LOMBOK UTARA,470,5456,22972,7623
NUSA TENGGARA BARAT,SUMBAWA,1815,6614,27254,7126
NUSA TENGGARA BARAT,SUMBAWA BARAT,1707,2094,10188,592
NUSA TENGGARA BARAT,TOTAL,90920,527826,87779,0
NUSA TENGGARA TIMUR,ALOR,20,1552,13832,10773
NUSA TENGGARA TIMUR,BELU,105,1404,11556,7903
NUSA TENGGARA TIMUR,ENDE,29,1641,22129,3959
NUSA TENGGARA TIMUR,FLORES TIMUR,61,1126,19666,1269
NUSA TENGGARA TIMUR,KOTA KUPANG,413,7326,8385,3435
NUSA TENGGARA TIMUR,KUPANG,48,1507,20274,14051
NUSA TENGGARA TIMUR,LEMBATA,35,1398,11538,4235
NUSA TENGGARA TIMUR,MALAKA,17,431,11970,9937
NUSA TENGGARA TIMUR,MANGGARAI,28,3288,22489,10883
NUSA TENGGARA TIMUR,MANGGARAI BARAT,100,2654,18375,13087
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,0,1395,24547,13720
NUSA TENGGARA TIMUR,NAGEKEO,13,808,8588,1840
NUSA TENGGARA TIMUR,NGADA,43,2535,7133,2163
NUSA TENGGARA TIMUR,ROTE NDAO,25,469,9074,9043
NUSA TENGGARA TIMUR,SABU RAIJUA,47,107,5688,8846
NUSA TENGGARA TIMUR,SIKKA,154,3763,19610,10714
NUSA TENGGARA TIMUR,SUMBA BARAT,19,54,7024,8916
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,194,850,14194,30894
NUSA TENGGARA TIMUR,SUMBA TENGAH,2,2,3860,5587
NUSA TENGGARA TIMUR,SUMBA TIMUR,13,1844,7072,16930
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,8,751,28682,45894
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,29,1304,20966,9084
NUSA TENGGARA TIMUR,TOTAL,36209,316652,243163,0
PAPUA,ASMAT,10,6,9,11859
PAPUA,BIAK NUMFOR,971,1242,5762,5876
PAPUA,BOVEN DIGOEL,6,17,1088,4235
PAPUA,DEIYAI,4,5,412,2570
PAPUA,DOGIYAI,9,4,495,4075
PAPUA,INTAN JAYA,0,0,9,197
PAPUA,JAYAPURA,83,496,2628,6127
PAPUA,JAYAWIJAYA,5,12,152,12977
PAPUA,KEEROM,1115,22,1648,3439
PAPUA,KEPULAUAN YAPEN,51,992,3826,3197
PAPUA,KOTA JAYAPURA,3427,6625,4180,1946
PAPUA,LANNY JAYA,0,6,982,4641
PAPUA,MAMBERAMO RAYA,1,0,288,399
PAPUA,MAMBERAMO TENGAH,0,0,387,300
PAPUA,MAPPI,11,46,1822,8551
PAPUA,MERAUKE,1108,667,4134,7154
PAPUA,MIMIKA,3156,6,1988,8102
PAPUA,NABIRE,632,129,3333,5190
PAPUA,NDUGA,0,0,0,0
PAPUA,PANIAI,2,2,523,6356
PAPUA,PEGUNUNGAN BINTANG,3,4,3872,8970
PAPUA,PUNCAK,0,0,10,11316
PAPUA,PUNCAK JAYA,1,13,4561,2407
PAPUA,SARMI,22,2,283,1756
PAPUA,SUPIORI,4,15,825,1188
PAPUA,TOLIKARA,105,4,65,4112
PAPUA,TOTAL,10325,46926,139728,0
PAPUA,WAROPEN,27,5,785,786
PAPUA,YAHUKIMO,1,5,343,9627
PAPUA,YALIMO,0,0,2516,2375
PAPUA BARAT,FAKFAK,56,1544,1928,4552
PAPUA BARAT,KAIMANA,58,80,1335,3051
