Provinsi,NamaKab/Kota,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung
SULAWESI UTARA,BOLAANG MONGONDOW,1365,1640,12244,10543
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,226,302,2986,1620
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,274,831,2574,1353
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,362,72,3233,3427
SULAWESI UTARA,KEPULAUAN SANGIHE,27,1041,5245,3346
SULAWESI UTARA,KEPULAUAN TALAUD,63,508,4227,2410
SULAWESI UTARA,KOTA BITUNG,3293,2257,6353,1182
SULAWESI UTARA,KOTA MANADO,9364,1588,5635,2724
SULAWESI UTARA,KOTA TOMOHON,967,1064,4374,1269
SULAWESI UTARA,KOTAMOBAGU,1298,1511,3342,1556
SULAWESI UTARA,MINAHASA,1430,1662,12921,4522
SULAWESI UTARA,MINAHASA SELATAN,1897,848,16917,5380
SULAWESI UTARA,MINAHASA TENGGARA,1593,737,5015,2157
SULAWESI UTARA,MINAHASA UTARA,2318,1190,9313,3585
SULAWESI UTARA,SIAU TAGULANDANG BIARO,24,120,1372,1330
SULAWESI UTARA,TOTAL,15371,95751,46404,0
SUMATERA BARAT,AGAM,1320,681,11087,8360
SUMATERA BARAT,DHARMASRAYA,559,247,2239,4000
SUMATERA BARAT,KEPULAUAN MENTAWAI,31,22,1626,6369
SUMATERA BARAT,KOTA BUKITTINGGI,1853,702,1033,293
SUMATERA BARAT,KOTA PADANG,11318,7242,19476,5069
SUMATERA BARAT,KOTA PADANG PANJANG,520,603,771,199
SUMATERA BARAT,KOTA PARIAMAN,1066,166,2755,527
SUMATERA BARAT,KOTA PAYAKUMBUH,2161,2581,1250,440
SUMATERA BARAT,KOTA SAWAH LUNTO,185,191,989,219
SUMATERA BARAT,KOTA SOLOK,962,1120,165,207
SUMATERA BARAT,LIMA PULUH KOTA,2705,912,12211,16321
SUMATERA BARAT,PADANG PARIAMAN,1956,1183,13694,11660
SUMATERA BARAT,PASAMAN,621,2470,7125,15270
SUMATERA BARAT,PASAMAN BARAT,5488,1824,13139,19580
SUMATERA BARAT,PESISIR SELATAN,5537,2987,15346,14131
SUMATERA BARAT,SIJUNJUNG,1231,1184,3071,6529
SUMATERA BARAT,SOLOK,1623,2894,12400,13129
SUMATERA BARAT,SOLOK SELATAN,186,1765,2290,5092
SUMATERA BARAT,TANAH DATAR,756,1644,11529,6052
SUMATERA BARAT,TOTAL,30418,132196,133447,0
SUMATERA SELATAN,BANYU ASIN,11175,4651,8267,58461
SUMATERA SELATAN,EMPAT LAWANG,214,132,4184,17841
SUMATERA SELATAN,KOTA LUBUKLINGGAU,297,1156,7600,2811
SUMATERA SELATAN,KOTA PAGAR ALAM,22,332,6818,2238
SUMATERA SELATAN,KOTA PALEMBANG,12357,58186,6685,13112
SUMATERA SELATAN,KOTA PRABUMULIH,553,325,7050,2922
SUMATERA SELATAN,LAHAT,482,1204,19293,16693
SUMATERA SELATAN,MUARA ENIM,1261,4058,29831,20552
SUMATERA SELATAN,MUSI BANYUASIN,3342,5966,14083,31353
SUMATERA SELATAN,MUSI RAWAS,699,890,20310,21024
SUMATERA SELATAN,MUSI RAWAS UTARA,396,344,6127,11423
SUMATERA SELATAN,OGAN ILIR,5189,2079,14938,23961
SUMATERA SELATAN,OGAN KOMERING ILIR,7530,1003,33454,30337
SUMATERA SELATAN,OGAN KOMERING ULU,913,1744,9414,12853
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,198,1485,14886,25182
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,144,266,21932,11884
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,778,906,9427,6657
SUMATERA SELATAN,TOTAL,84727,234299,309304,0
SUMATERA UTARA,ASAHAN,8679,2902,18077,3973
SUMATERA UTARA,BATU BARA,3199,6645,30853,2395
SUMATERA UTARA,DAIRI,36,1325,7531,8429
SUMATERA UTARA,DELI SERDANG,24088,3362,61819,20905
SUMATERA UTARA,HUMBANG HASUNDUTAN,9,311,5259,7589
SUMATERA UTARA,KARO,344,4630,15674,3542
SUMATERA UTARA,KOTA BINJAI,5437,517,8486,1419
SUMATERA UTARA,KOTA GUNUNGSITOLI,202,659,3568,9611
SUMATERA UTARA,KOTA MEDAN,46641,30607,31593,1307
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1059,810,1743,6849
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1179,13207,3088,288
SUMATERA UTARA,KOTA SIBOLGA,646,3408,825,529
SUMATERA UTARA,KOTA TANJUNG BALAI,6469,5736,701,1394
SUMATERA UTARA,KOTA TEBING TINGGI,2709,1255,6436,314
SUMATERA UTARA,LABUHAN BATU,1933,303,5193,15815
SUMATERA UTARA,LABUHAN BATU SELATAN,1032,65,2630,5329
SUMATERA UTARA,LABUHAN BATU UTARA,1521,475,8069,9397
SUMATERA UTARA,LANGKAT,9747,5079,53597,28513
SUMATERA UTARA,MANDAILING NATAL,398,128,15519,15517
SUMATERA UTARA,NIAS,51,96,1772,19084
SUMATERA UTARA,NIAS BARAT,34,24,1797,11940
SUMATERA UTARA,NIAS SELATAN,215,207,6475,37181
SUMATERA UTARA,NIAS UTARA,106,231,2039,20670
SUMATERA UTARA,PADANG LAWAS,148,0,9294,7363
SUMATERA UTARA,PADANG LAWAS UTARA,107,20,3545,7545
SUMATERA UTARA,PAKPAK BHARAT,2,36,976,1322
SUMATERA UTARA,SAMOSIR,12,178,1544,5003
SUMATERA UTARA,SERDANG BEDAGAI,3002,606,28005,4449
SUMATERA UTARA,SIMALUNGUN,490,8541,27102,6477
SUMATERA UTARA,TAPANULI SELATAN,106,340,8012,11616
SUMATERA UTARA,TAPANULI TENGAH,684,2011,9814,17178
SUMATERA UTARA,TAPANULI UTARA,4,1431,15413,9190
SUMATERA UTARA,TOBA SAMOSIR,84,240,5378,2724
SUMATERA UTARA,TOTAL,95385,401827,304857,0
