Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri
SUMATERA UTARA,LABUHAN BATU,3022,2180,17615
SUMATERA UTARA,LABUHAN BATU SELATAN,1904,868,5880
SUMATERA UTARA,LABUHAN BATU UTARA,3127,903,14956
SUMATERA UTARA,LANGKAT,23500,5086,66126
SUMATERA UTARA,MANDAILING NATAL,4566,4370,22522
SUMATERA UTARA,NIAS,2131,192,18425
SUMATERA UTARA,NIAS BARAT,1943,59,11686
SUMATERA UTARA,NIAS SELATAN,3364,243,39853
SUMATERA UTARA,NIAS UTARA,2750,88,19778
SUMATERA UTARA,PADANG LAWAS,2650,892,13139
SUMATERA UTARA,PADANG LAWAS UTARA,1912,395,8824
SUMATERA UTARA,PAKPAK BHARAT,227,19,2071
SUMATERA UTARA,SAMOSIR,2679,292,3415
SUMATERA UTARA,SERDANG BEDAGAI,6985,1836,26877
SUMATERA UTARA,SIMALUNGUN,9621,3030,28873
SUMATERA UTARA,TAPANULI SELATAN,3384,2650,13625
SUMATERA UTARA,TAPANULI TENGAH,5383,3192,20690
SUMATERA UTARA,TAPANULI UTARA,5561,1523,17502
SUMATERA UTARA,TOBA SAMOSIR,2778,787,4693
