Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri
JAWA TENGAH,KUDUS,3278,489,53717
JAWA TENGAH,MAGELANG,8696,1129,142625
JAWA TENGAH,PATI,11716,514,164527
JAWA TENGAH,PEKALONGAN,7212,398,92910
JAWA TENGAH,PEMALANG,13766,796,153280
JAWA TENGAH,PURBALINGGA,4766,320,111266
JAWA TENGAH,PURWOREJO,11008,794,68477
JAWA TENGAH,REMBANG,3575,267,86905
JAWA TENGAH,SEMARANG,4498,305,68526
JAWA TENGAH,SRAGEN,7410,274,73426
JAWA TENGAH,SUKOHARJO,8542,1496,73552
JAWA TENGAH,TEGAL,21406,1219,141134
JAWA TENGAH,TEMANGGUNG,2957,692,77134
JAWA TENGAH,WONOGIRI,2579,65,90222
JAWA TENGAH,WONOSOBO,4865,436,82390
JAWA TIMUR,BANGKALAN,3650,1013,122504
JAWA TIMUR,BANYUWANGI,17515,2384,159165
JAWA TIMUR,BLITAR,9049,622,102002
JAWA TIMUR,BOJONEGORO,2802,343,160901
JAWA TIMUR,BONDOWOSO,3233,428,148313
JAWA TIMUR,GRESIK,4722,1347,88941
JAWA TIMUR,JEMBER,14326,2383,275696
JAWA TIMUR,JOMBANG,12420,1551,135393
JAWA TIMUR,KEDIRI,17092,1716,135479
JAWA TIMUR,KOTA BATU,548,339,10586
JAWA TIMUR,KOTA BLITAR,946,296,5831
JAWA TIMUR,KOTA KEDIRI,4174,1717,14730
JAWA TIMUR,KOTA MADIUN,1921,863,4222
JAWA TIMUR,KOTA MALANG,4043,2457,23974
JAWA TIMUR,KOTA MOJOKERTO,1211,652,4892
JAWA TIMUR,KOTA PASURUAN,1640,984,11682
JAWA TIMUR,KOTA PROBOLINGGO,1396,484,15460
JAWA TIMUR,KOTA SURABAYA,24748,32658,81686
JAWA TIMUR,LAMONGAN,5408,592,109172
JAWA TIMUR,LUMAJANG,4390,1153,126774
JAWA TIMUR,MADIUN,4434,379,67778
JAWA TIMUR,MAGETAN,2767,236,58077
JAWA TIMUR,MALANG,8374,2211,200102
JAWA TIMUR,MOJOKERTO,4885,964,73051
