Provinsi,NamaKab/Kota,KodeKab/Kota,Bekerja,Tidak Bekerja
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,54121,68028
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,33693,31299
SUMATERA UTARA,ASAHAN,1208,43675,87937
SUMATERA UTARA,BATU BARA,1219,50450,109973
SUMATERA UTARA,DAIRI,1210,45191,27018
SUMATERA UTARA,DELI SERDANG,1212,119509,251104
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,35675,15365
SUMATERA UTARA,KARO,1211,51815,41515
SUMATERA UTARA,KOTA BINJAI,1276,21599,35878
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,26444,34538
SUMATERA UTARA,KOTA MEDAN,1275,152117,280817
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,17436,24402
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,25972,40464
SUMATERA UTARA,KOTA SIBOLGA,1271,8117,15082
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,20679,41374
SUMATERA UTARA,KOTA TEBING TINGGI,1274,14565,25843
SUMATERA UTARA,LABUHAN BATU,1207,27278,63284
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,13978,23985
SUMATERA UTARA,LABUHAN BATU UTARA,1223,24181,52505
SUMATERA UTARA,LANGKAT,1213,114457,229181
SUMATERA UTARA,MANDAILING NATAL,1202,48744,76427
SUMATERA UTARA,NIAS,1201,54699,41536
SUMATERA UTARA,NIAS BARAT,1225,33924,27421
SUMATERA UTARA,NIAS SELATAN,1214,112085,76578
SUMATERA UTARA,NIAS UTARA,1224,46929,50943
SUMATERA UTARA,PADANG LAWAS,1221,33474,39485
SUMATERA UTARA,PADANG LAWAS UTARA,1220,22564,26879
SUMATERA UTARA,PAKPAK BHARAT,1216,5947,5096
SUMATERA UTARA,SAMOSIR,1217,21955,9856
SUMATERA UTARA,SERDANG BEDAGAI,1218,47095,91312
SUMATERA UTARA,SIMALUNGUN,1209,67939,84736
SUMATERA UTARA,TAPANULI SELATAN,1203,35756,35060
SUMATERA UTARA,TAPANULI TENGAH,1204,54921,65013
SUMATERA UTARA,TAPANULI UTARA,1205,63399,37950
SUMATERA UTARA,TOBA SAMOSIR,1206,22110,15123
