Provinsi,NamaKab/Kota,KodeKab/Kota,Bekerja,Tidak Bekerja
JAWA TENGAH,KOTA SEMARANG,3374,116081,134869
JAWA TENGAH,KOTA SURAKARTA,3372,63982,67839
JAWA TENGAH,KOTA TEGAL,3376,33963,43425
JAWA TENGAH,KUDUS,3319,102871,95813
JAWA TENGAH,MAGELANG,3308,277574,236761
JAWA TENGAH,PATI,3318,239592,284287
JAWA TENGAH,PEKALONGAN,3326,202941,221457
JAWA TENGAH,PEMALANG,3327,274312,372936
JAWA TENGAH,PURBALINGGA,3303,202746,221970
JAWA TENGAH,PURWOREJO,3306,122274,122338
JAWA TENGAH,REMBANG,3317,143354,146615
JAWA TENGAH,SEMARANG,3322,124038,105734
JAWA TENGAH,SRAGEN,3314,116501,118979
JAWA TENGAH,SUKOHARJO,3311,133450,134510
JAWA TENGAH,TEGAL,3328,255316,366843
JAWA TENGAH,TEMANGGUNG,3323,151855,118282
JAWA TENGAH,WONOGIRI,3312,170960,123385
JAWA TENGAH,WONOSOBO,3307,145219,129650
JAWA TIMUR,BANGKALAN,3526,250263,196760
JAWA TIMUR,BANYUWANGI,3510,242222,242535
JAWA TIMUR,BLITAR,3505,149627,166487
JAWA TIMUR,BOJONEGORO,3522,251192,250430
JAWA TIMUR,BONDOWOSO,3511,217671,183895
JAWA TIMUR,GRESIK,3525,144819,185651
JAWA TIMUR,JEMBER,3509,382915,472806
JAWA TIMUR,JOMBANG,3517,205107,256864
JAWA TIMUR,KEDIRI,3506,207427,250516
JAWA TIMUR,KOTA BATU,3579,20461,16975
JAWA TIMUR,KOTA BLITAR,3572,11355,11934
JAWA TIMUR,KOTA KEDIRI,3571,29233,34131
JAWA TIMUR,KOTA MADIUN,3577,10418,12366
JAWA TIMUR,KOTA MALANG,3573,47161,58562
JAWA TIMUR,KOTA MOJOKERTO,3576,10477,11465
JAWA TIMUR,KOTA PASURUAN,3575,21859,26675
JAWA TIMUR,KOTA PROBOLINGGO,3574,26375,31234
JAWA TIMUR,KOTA SURABAYA,3578,202425,288473
JAWA TIMUR,LAMONGAN,3524,195122,200709
JAWA TIMUR,LUMAJANG,3508,209858,195218
JAWA TIMUR,MADIUN,3519,89835,104235
JAWA TIMUR,MAGETAN,3520,102874,79606
JAWA TIMUR,MALANG,3507,309835,331688
JAWA TIMUR,MOJOKERTO,3516,115147,149209
JAWA TIMUR,NGANJUK,3518,200037,242427
JAWA TIMUR,NGAWI,3521,180314,167324
