Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
JAWA TENGAH,KOTA SALATIGA,3373,6185,1003
JAWA TENGAH,KOTA SEMARANG,3374,52273,10463
JAWA TENGAH,KOTA SURAKARTA,3372,28105,4350
JAWA TENGAH,KOTA TEGAL,3376,16501,4661
JAWA TENGAH,KUDUS,3319,36892,10612
JAWA TENGAH,MAGELANG,3308,96690,27889
JAWA TENGAH,PATI,3318,85359,21934
JAWA TENGAH,PEKALONGAN,3326,80643,29902
JAWA TENGAH,PEMALANG,3327,127127,44831
JAWA TENGAH,PURBALINGGA,3303,81955,25376
JAWA TENGAH,PURWOREJO,3306,49561,10165
JAWA TENGAH,REMBANG,3317,51622,12849
JAWA TENGAH,SEMARANG,3322,42378,10918
JAWA TENGAH,SRAGEN,3314,44073,9344
JAWA TENGAH,SUKOHARJO,3311,47859,9010
JAWA TENGAH,TEGAL,3328,122946,42899
JAWA TENGAH,TEMANGGUNG,3323,46593,15101
JAWA TENGAH,WONOGIRI,3312,44551,12368
JAWA TENGAH,WONOSOBO,3307,46109,19374
JAWA TIMUR,BANGKALAN,3526,72182,34205
JAWA TIMUR,BANYUWANGI,3510,80766,22608
JAWA TIMUR,BLITAR,3505,50865,14563
JAWA TIMUR,BOJONEGORO,3522,85059,20092
JAWA TIMUR,BONDOWOSO,3511,66776,17647
JAWA TIMUR,GRESIK,3525,65720,11762
JAWA TIMUR,JEMBER,3509,143127,53190
JAWA TIMUR,JOMBANG,3517,89791,18799
JAWA TIMUR,KEDIRI,3506,81944,21097
JAWA TIMUR,KOTA BATU,3579,7056,1553
JAWA TIMUR,KOTA BLITAR,3572,4865,838
JAWA TIMUR,KOTA KEDIRI,3571,12704,2053
JAWA TIMUR,KOTA MADIUN,3577,4402,770
JAWA TIMUR,KOTA MALANG,3573,20050,5276
JAWA TIMUR,KOTA MOJOKERTO,3576,4598,731
JAWA TIMUR,KOTA PASURUAN,3575,9999,2400
JAWA TIMUR,KOTA PROBOLINGGO,3574,11852,2676
JAWA TIMUR,KOTA SURABAYA,3578,99066,19764
JAWA TIMUR,LAMONGAN,3524,70903,14333
JAWA TIMUR,LUMAJANG,3508,59275,24178
JAWA TIMUR,MADIUN,3519,30722,6693
JAWA TIMUR,MAGETAN,3520,28952,5363
JAWA TIMUR,MALANG,3507,102985,37291
JAWA TIMUR,MOJOKERTO,3516,52302,11085
JAWA TIMUR,NGANJUK,3518,78564,18155
JAWA TIMUR,NGAWI,3521,58931,12932
JAWA TIMUR,PACITAN,3501,22249,7476
JAWA TIMUR,PAMEKASAN,3528,80777,20504
JAWA TIMUR,PASURUAN,3514,95143,37310
JAWA TIMUR,PONOROGO,3502,46827,11328
JAWA TIMUR,PROBOLINGGO,3513,89756,31124
JAWA TIMUR,SAMPANG,3527,99294,36016
JAWA TIMUR,SIDOARJO,3515,73438,12412
JAWA TIMUR,SITUBONDO,3512,37692,10449
JAWA TIMUR,SUMENEP,3529,79611,19145
JAWA TIMUR,TRENGGALEK,3503,37034,11052
JAWA TIMUR,TUBAN,3523,64879,20550
JAWA TIMUR,TULUNGAGUNG,3504,45015,11711
KALIMANTAN BARAT,BENGKAYANG,6102,21068,5618
KALIMANTAN BARAT,KAPUAS HULU,6108,22353,6296
KALIMANTAN BARAT,KAYONG UTARA,6111,10120,2762
KALIMANTAN BARAT,KETAPANG,6106,26452,10205
KALIMANTAN BARAT,KOTA PONTIANAK,6171,21025,5147
KALIMANTAN BARAT,KOTA SINGKAWANG,6172,13712,4037
KALIMANTAN BARAT,KUBU RAYA,6112,46675,15067
KALIMANTAN BARAT,LANDAK,6103,48450,11095
KALIMANTAN BARAT,MELAWI,6110,12253,5328
KALIMANTAN BARAT,MEMPAWAH,6104,24491,7011
KALIMANTAN BARAT,SAMBAS,6101,32900,10528
KALIMANTAN BARAT,SANGGAU,6105,23875,8232
KALIMANTAN BARAT,SEKADAU,6109,11070,4155
KALIMANTAN BARAT,SINTANG,6107,32152,12311
KALIMANTAN SELATAN,BALANGAN,6311,6042,1809
KALIMANTAN SELATAN,BANJAR,6303,17388,7586
KALIMANTAN SELATAN,BARITO KUALA,6304,15992,4263
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,6306,12502,4284
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,6307,15074,4711
KALIMANTAN SELATAN,HULU SUNGAI UTARA,6308,16570,5128
KALIMANTAN SELATAN,KOTA BANJAR BARU,6372,8295,1690
KALIMANTAN SELATAN,KOTA BANJARMASIN,6371,27680,6616
KALIMANTAN SELATAN,KOTA BARU,6302,12719,4885
KALIMANTAN SELATAN,TABALONG,6309,11583,3008
KALIMANTAN SELATAN,TANAH BUMBU,6310,11995,2976
KALIMANTAN SELATAN,TANAH LAUT,6301,12074,3621
KALIMANTAN SELATAN,TAPIN,6305,4491,2035
KALIMANTAN TENGAH,BARITO SELATAN,6204,5512,1346
KALIMANTAN TENGAH,BARITO TIMUR,6212,3573,866
KALIMANTAN TENGAH,BARITO UTARA,6205,4627,1472
KALIMANTAN TENGAH,GUNUNG MAS,6211,2017,768
KALIMANTAN TENGAH,KAPUAS,6203,24460,8645
KALIMANTAN TENGAH,KATINGAN,6209,6621,2051
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,6271,8518,1810
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,6201,6017,2111
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,6202,21359,7149
KALIMANTAN TENGAH,LAMANDAU,6207,2107,589
KALIMANTAN TENGAH,MURUNG RAYA,6213,6898,2338
KALIMANTAN TENGAH,PULANG PISAU,6210,8755,2549
KALIMANTAN TENGAH,SERUYAN,6208,4312,1398
KALIMANTAN TENGAH,SUKAMARA,6206,1663,680
KALIMANTAN TIMUR,BERAU,6405,6697,1639
KALIMANTAN TIMUR,KOTA BALIKPAPAN,6471,23038,4662
KALIMANTAN TIMUR,KOTA BONTANG,6474,8536,2031
KALIMANTAN TIMUR,KOTA SAMARINDA,6472,23539,4843
KALIMANTAN TIMUR,KUTAI BARAT,6402,8800,2095
KALIMANTAN TIMUR,KUTAI KARTANEGARA,6403,26717,6394
KALIMANTAN TIMUR,KUTAI TIMUR,6404,18653,4146
KALIMANTAN TIMUR,MAHAKAM HULU,6411,1945,467
KALIMANTAN TIMUR,PASER,6401,15971,4494
KALIMANTAN TIMUR,PENAJAM PASER UTARA,6409,10806,2354
KALIMANTAN UTARA,BULUNGAN,6502,4723,1467
KALIMANTAN UTARA,KOTA TARAKAN,6571,11525,3021
KALIMANTAN UTARA,MALINAU,6501,4903,1311
KALIMANTAN UTARA,NUNUKAN,6504,15542,3967
KALIMANTAN UTARA,TANA TIDUNG,6503,738,218
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,10262,2970
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,5237,2297
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,4761,2190
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,7042,2410
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,4906,1694
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,3915,1221
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,6195,1684
KEPULAUAN RIAU,BINTAN,2102,7022,1455
KEPULAUAN RIAU,KARIMUN,2101,10583,3029
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,1086,285
KEPULAUAN RIAU,KOTA BATAM,2171,43143,6661
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,9560,1466
KEPULAUAN RIAU,LINGGA,2104,4515,1526
KEPULAUAN RIAU,NATUNA,2103,2777,526
LAMPUNG,KOTA BANDAR LAMPUNG,1871,72427,14511
LAMPUNG,KOTA METRO,1872,6754,1347
LAMPUNG,LAMPUNG BARAT,1801,24399,6428
LAMPUNG,LAMPUNG SELATAN,1803,97485,26218
LAMPUNG,LAMPUNG TENGAH,1805,78103,24525
LAMPUNG,LAMPUNG TIMUR,1804,72598,20452
LAMPUNG,LAMPUNG UTARA,1806,59587,15752
LAMPUNG,MESUJI,1811,13886,5024
LAMPUNG,PESAWARAN,1809,45700,12852
LAMPUNG,PESISIR BARAT,1813,19012,3894
LAMPUNG,PRINGSEWU,1810,27302,7706
LAMPUNG,TANGGAMUS,1802,54168,15812
LAMPUNG,TULANG BAWANG BARAT,1812,14983,5219
LAMPUNG,TULANGBAWANG,1808,30391,9844
LAMPUNG,WAY KANAN,1807,35025,9547
MALUKU,BURU,8104,12549,3504
MALUKU,BURU SELATAN,8109,9477,1984
MALUKU,KEPULAUAN ARU,8105,10296,2775
MALUKU,KOTA AMBON,8171,24274,3598
MALUKU,KOTA TUAL,8172,7464,956
MALUKU,MALUKU BARAT DAYA,8108,13287,2579
MALUKU,MALUKU TENGAH,8103,52916,7642
MALUKU,MALUKU TENGGARA,8102,13391,2395
MALUKU,MALUKU TENGGARA BARAT,8101,17963,2923
MALUKU,SERAM BAGIAN BARAT,8106,32145,5562
MALUKU,SERAM BAGIAN TIMUR,8107,14422,2823
MALUKU UTARA,HALMAHERA BARAT,8201,9786,1394
MALUKU UTARA,HALMAHERA SELATAN,8204,15517,3614
MALUKU UTARA,HALMAHERA TENGAH,8202,6257,1167
MALUKU UTARA,HALMAHERA TIMUR,8206,7102,1721
MALUKU UTARA,HALMAHERA UTARA,8205,9179,3187
MALUKU UTARA,KEPULAUAN SULA,8203,6845,1335
MALUKU UTARA,KOTA TERNATE,8271,4228,764
MALUKU UTARA,KOTA TIDORE KEPULAUAN,8272,6759,1175
MALUKU UTARA,PULAU MOROTAI,8207,5371,1479
MALUKU UTARA,PULAU TALIABU,8208,2973,1124
NUSA TENGGARA BARAT,BIMA,5206,60016,8976
NUSA TENGGARA BARAT,DOMPU,5205,30564,4535
NUSA TENGGARA BARAT,KOTA BIMA,5272,14517,2052
NUSA TENGGARA BARAT,KOTA MATARAM,5271,29365,7255
NUSA TENGGARA BARAT,LOMBOK BARAT,5201,73407,17278
