Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,55140,19446
SUMATERA SELATAN,OGAN KOMERING ULU,1601,19776,5553
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,35161,8123
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,29835,7788
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,17089,5273
SUMATERA UTARA,ASAHAN,1208,39778,9396
SUMATERA UTARA,BATU BARA,1219,44944,10061
SUMATERA UTARA,DAIRI,1210,28783,3008
SUMATERA UTARA,DELI SERDANG,1212,91900,18742
SUMATERA UTARA,HUMBANG HASUNDUTAN,1215,21356,1520
SUMATERA UTARA,KARO,1211,31082,4757
SUMATERA UTARA,KOTA BINJAI,1276,14611,2723
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,20098,3136
SUMATERA UTARA,KOTA MEDAN,1275,119837,19777
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,13877,2040
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,18941,2505
SUMATERA UTARA,KOTA SIBOLGA,1271,8089,1012
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,18320,4255
SUMATERA UTARA,KOTA TEBING TINGGI,1274,10565,2545
SUMATERA UTARA,LABUHAN BATU,1207,26968,6401
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,12074,3036
SUMATERA UTARA,LABUHAN BATU UTARA,1223,23945,5470
SUMATERA UTARA,LANGKAT,1213,90382,20748
SUMATERA UTARA,MANDAILING NATAL,1202,42606,9126
SUMATERA UTARA,NIAS,1201,30780,9035
SUMATERA UTARA,NIAS BARAT,1225,20486,3522
SUMATERA UTARA,NIAS SELATAN,1214,57557,18699
SUMATERA UTARA,NIAS UTARA,1224,33298,6292
SUMATERA UTARA,PADANG LAWAS,1221,26590,5373
SUMATERA UTARA,PADANG LAWAS UTARA,1220,18449,3858
SUMATERA UTARA,PAKPAK BHARAT,1216,4743,589
SUMATERA UTARA,SAMOSIR,1217,14550,1158
SUMATERA UTARA,SERDANG BEDAGAI,1218,40299,8378
SUMATERA UTARA,SIMALUNGUN,1209,47650,7579
SUMATERA UTARA,TAPANULI SELATAN,1203,22869,4407
SUMATERA UTARA,TAPANULI TENGAH,1204,42936,7600
SUMATERA UTARA,TAPANULI UTARA,1205,38143,3235
SUMATERA UTARA,TOBA SAMOSIR,1206,15638,1371
