Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
JAWA TENGAH,KOTA SEMARANG,77643,340,0
JAWA TENGAH,KOTA SURAKARTA,40849,133,85
JAWA TENGAH,KOTA TEGAL,21945,0,45
JAWA TENGAH,KUDUS,57596,1,55
JAWA TENGAH,MAGELANG,152481,536,560
JAWA TENGAH,PATI,177824,0,2
JAWA TENGAH,PEKALONGAN,101105,1570,433
JAWA TENGAH,PEMALANG,167819,0,679
JAWA TENGAH,PURBALINGGA,116844,5,801
JAWA TENGAH,PURWOREJO,80911,9,576
JAWA TENGAH,REMBANG,91040,72,59
JAWA TENGAH,SEMARANG,73540,0,55
JAWA TENGAH,SRAGEN,81039,293,264
JAWA TENGAH,SUKOHARJO,84578,16,46
JAWA TENGAH,TEGAL,164794,1602,674
JAWA TENGAH,TEMANGGUNG,80946,173,118
JAWA TENGAH,TOTAL,9597,12050,0
JAWA TENGAH,WONOGIRI,92534,474,328
JAWA TENGAH,WONOSOBO,87562,151,324
JAWA TIMUR,BANGKALAN,125153,1889,1047
JAWA TIMUR,BANYUWANGI,179788,2428,476
JAWA TIMUR,BLITAR,111138,668,495
JAWA TIMUR,BOJONEGORO,162473,1467,681
JAWA TIMUR,BONDOWOSO,148440,2378,1530
JAWA TIMUR,GRESIK,94372,1088,361
JAWA TIMUR,JEMBER,288442,5429,1419
JAWA TIMUR,JOMBANG,150973,751,356
JAWA TIMUR,KEDIRI,153072,1361,649
JAWA TIMUR,KOTA BATU,11448,35,37
JAWA TIMUR,KOTA BLITAR,7106,14,33
JAWA TIMUR,KOTA KEDIRI,21146,40,42
JAWA TIMUR,KOTA MADIUN,7499,14,15
JAWA TIMUR,KOTA MALANG,30901,177,99
JAWA TIMUR,KOTA MOJOKERTO,6965,0,8
JAWA TIMUR,KOTA PASURUAN,14321,0,14
JAWA TIMUR,KOTA PROBOLINGGO,17534,0,12
JAWA TIMUR,KOTA SURABAYA,146796,2108,236
JAWA TIMUR,LAMONGAN,115096,0,84
JAWA TIMUR,LUMAJANG,131878,317,501
JAWA TIMUR,MADIUN,72683,342,193
JAWA TIMUR,MAGETAN,61623,0,105
JAWA TIMUR,MALANG,209734,1902,778
JAWA TIMUR,MOJOKERTO,79146,538,145
JAWA TIMUR,NGANJUK,144762,1033,396
JAWA TIMUR,NGAWI,117764,596,425
JAWA TIMUR,PACITAN,53317,154,814
JAWA TIMUR,PAMEKASAN,123533,675,319
JAWA TIMUR,PASURUAN,194665,3037,867
JAWA TIMUR,PONOROGO,108966,571,498
JAWA TIMUR,PROBOLINGGO,180224,2864,1265
JAWA TIMUR,SAMPANG,135414,444,413
JAWA TIMUR,SIDOARJO,116683,425,128
JAWA TIMUR,SITUBONDO,107025,1420,747
JAWA TIMUR,SUMENEP,148281,21586,10695
JAWA TIMUR,TOTAL,58785,27029,0
JAWA TIMUR,TRENGGALEK,82368,398,312
JAWA TIMUR,TUBAN,122800,1575,471
JAWA TIMUR,TULUNGAGUNG,95597,1061,363
KALIMANTAN BARAT,BENGKAYANG,10375,1199,5869
KALIMANTAN BARAT,KAPUAS HULU,14680,4283,7598
KALIMANTAN BARAT,KAYONG UTARA,6662,452,1492
KALIMANTAN BARAT,KETAPANG,22967,5156,11777
KALIMANTAN BARAT,KOTA PONTIANAK,23181,164,106
KALIMANTAN BARAT,KOTA SINGKAWANG,12627,501,666
KALIMANTAN BARAT,KUBU RAYA,45031,1799,3943
KALIMANTAN BARAT,LANDAK,22137,2935,21180
KALIMANTAN BARAT,MELAWI,6681,1440,9141
KALIMANTAN BARAT,MEMPAWAH,24147,421,1469
KALIMANTAN BARAT,SAMBAS,38360,880,1860
KALIMANTAN BARAT,SANGGAU,14391,3527,13072
KALIMANTAN BARAT,SEKADAU,2225,1722,5077
KALIMANTAN BARAT,SINTANG,14706,5191,23028
KALIMANTAN BARAT,TOTAL,29670,106278,0
KALIMANTAN SELATAN,BALANGAN,5926,152,1354
KALIMANTAN SELATAN,BANJAR,22636,145,1282
KALIMANTAN SELATAN,BARITO KUALA,16622,220,1329
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,19324,275,1912
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,23325,798,2408
KALIMANTAN SELATAN,HULU SUNGAI UTARA,24674,503,823
KALIMANTAN SELATAN,KOTA BANJAR BARU,10563,95,123
KALIMANTAN SELATAN,KOTA BANJARMASIN,36472,94,67
KALIMANTAN SELATAN,KOTA BARU,8892,2389,3452
KALIMANTAN SELATAN,TABALONG,17942,494,814
KALIMANTAN SELATAN,TANAH BUMBU,15121,713,923
KALIMANTAN SELATAN,TANAH LAUT,16673,402,523
KALIMANTAN SELATAN,TAPIN,5619,79,735
KALIMANTAN SELATAN,TOTAL,6359,15745,0
KALIMANTAN TENGAH,BARITO SELATAN,3875,684,2553
KALIMANTAN TENGAH,BARITO TIMUR,3954,264,900
KALIMANTAN TENGAH,BARITO UTARA,3079,1971,2190
KALIMANTAN TENGAH,GUNUNG MAS,442,345,656
KALIMANTAN TENGAH,KAPUAS,23199,1222,6177
KALIMANTAN TENGAH,KATINGAN,6064,745,2419
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,8680,274,188
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,8388,856,598
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,20128,2831,5101
KALIMANTAN TENGAH,LAMANDAU,1117,847,1161
KALIMANTAN TENGAH,MURUNG RAYA,1205,1733,2753
KALIMANTAN TENGAH,PULANG PISAU,9706,497,805
KALIMANTAN TENGAH,SERUYAN,3779,1987,989
KALIMANTAN TENGAH,SUKAMARA,1498,617,520
KALIMANTAN TENGAH,TOTAL,14873,27010,0
KALIMANTAN TIMUR,BERAU,4653,1901,1415
KALIMANTAN TIMUR,KOTA BALIKPAPAN,24254,321,118
KALIMANTAN TIMUR,KOTA BONTANG,6964,377,99
KALIMANTAN TIMUR,KOTA SAMARINDA,27017,82,215
KALIMANTAN TIMUR,KUTAI BARAT,4300,3042,2808
KALIMANTAN TIMUR,KUTAI KARTANEGARA,28039,5140,2640
KALIMANTAN TIMUR,KUTAI TIMUR,10655,8443,3236
KALIMANTAN TIMUR,MAHAKAM HULU,286,1334,493
KALIMANTAN TIMUR,PASER,14256,4921,2249
KALIMANTAN TIMUR,PENAJAM PASER UTARA,9910,246,347
KALIMANTAN TIMUR,TOTAL,25807,13620,0
KALIMANTAN UTARA,BULUNGAN,3422,1003,970
KALIMANTAN UTARA,KOTA TARAKAN,9879,169,132
KALIMANTAN UTARA,MALINAU,2636,1122,896
KALIMANTAN UTARA,NUNUKAN,6429,2989,3482
KALIMANTAN UTARA,TANA TIDUNG,324,210,159
KALIMANTAN UTARA,TOTAL,5493,5639,0
KEPULAUAN BANGKA BELITUNG,BANGKA,14370,211,433
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,5691,184,324
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,7016,664,365
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,9759,292,279
KEPULAUAN BANGKA BELITUNG,BELITUNG,9078,278,592
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,6663,378,373
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,8535,87,20
KEPULAUAN BANGKA BELITUNG,TOTAL,2094,2386,0
KEPULAUAN RIAU,BINTAN,4895,803,233
KEPULAUAN RIAU,KARIMUN,10017,2251,1501
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,347,338,20
KEPULAUAN RIAU,KOTA BATAM,33335,5373,1195
KEPULAUAN RIAU,KOTA TANJUNG PINANG,9905,215,97
KEPULAUAN RIAU,LINGGA,3477,2977,749
KEPULAUAN RIAU,NATUNA,1394,884,302
KEPULAUAN RIAU,TOTAL,12841,4097,0
LAMPUNG,KOTA BANDAR LAMPUNG,79408,922,321
LAMPUNG,KOTA METRO,8515,0,0
LAMPUNG,LAMPUNG BARAT,17787,10226,5432
LAMPUNG,LAMPUNG SELATAN,128446,2508,1184
LAMPUNG,LAMPUNG TENGAH,116855,4424,1621
LAMPUNG,LAMPUNG TIMUR,105304,1986,1826
LAMPUNG,LAMPUNG UTARA,68657,1466,3336
LAMPUNG,MESUJI,11856,8728,1639
LAMPUNG,PESAWARAN,57097,2207,2617
LAMPUNG,PESISIR BARAT,10305,3419,5906
LAMPUNG,PRINGSEWU,35303,415,774
LAMPUNG,TANGGAMUS,52677,5840,7594
LAMPUNG,TOTAL,56589,40310,0
LAMPUNG,TULANG BAWANG BARAT,21058,618,1069
LAMPUNG,TULANGBAWANG,27713,10664,3479
LAMPUNG,WAY KANAN,40363,3166,3512
MALUKU,BURU,4594,571,3365
MALUKU,BURU SELATAN,2784,1063,1886
MALUKU,KEPULAUAN ARU,542,753,5405
MALUKU,KOTA AMBON,18462,48,556
MALUKU,KOTA TUAL,2653,530,1164
MALUKU,MALUKU BARAT DAYA,3189,2368,4487
MALUKU,MALUKU TENGAH,31250,849,5433
MALUKU,MALUKU TENGGARA,3214,274,3470
MALUKU,MALUKU TENGGARA BARAT,4672,2373,4705
MALUKU,SERAM BAGIAN BARAT,15093,537,4199
MALUKU,SERAM BAGIAN TIMUR,3914,486,4585
MALUKU,TOTAL,9852,39255,0
MALUKU UTARA,HALMAHERA BARAT,5270,610,1283
MALUKU UTARA,HALMAHERA SELATAN,3917,2445,3164
MALUKU UTARA,HALMAHERA TENGAH,2103,1461,484
MALUKU UTARA,HALMAHERA TIMUR,3763,1072,1442
MALUKU UTARA,HALMAHERA UTARA,4331,897,1275
MALUKU UTARA,KEPULAUAN SULA,2090,324,1933
MALUKU UTARA,KOTA TERNATE,2349,710,460
MALUKU UTARA,KOTA TIDORE KEPULAUAN,5871,120,86
MALUKU UTARA,PULAU MOROTAI,1553,714,1241
MALUKU UTARA,PULAU TALIABU,353,459,1682
MALUKU UTARA,TOTAL,8812,13050,0
NUSA TENGGARA BARAT,BIMA,56596,1328,3991
NUSA TENGGARA BARAT,DOMPU,28770,309,1628
NUSA TENGGARA BARAT,KOTA BIMA,15308,118,214
NUSA TENGGARA BARAT,KOTA MATARAM,35410,219,91
NUSA TENGGARA BARAT,LOMBOK BARAT,98393,2425,2447
NUSA TENGGARA BARAT,LOMBOK TENGAH,160013,1564,1749
NUSA TENGGARA BARAT,LOMBOK TIMUR,215638,1906,2706
NUSA TENGGARA BARAT,LOMBOK UTARA,34333,1211,977
NUSA TENGGARA BARAT,SUMBAWA,38179,1756,2874
NUSA TENGGARA BARAT,SUMBAWA BARAT,13837,420,324
NUSA TENGGARA BARAT,TOTAL,11256,17001,0
NUSA TENGGARA TIMUR,ALOR,11850,4057,10270
NUSA TENGGARA TIMUR,BELU,11054,1450,8464
NUSA TENGGARA TIMUR,ENDE,21403,816,5539
NUSA TENGGARA TIMUR,FLORES TIMUR,16971,957,4194
NUSA TENGGARA TIMUR,KOTA KUPANG,19060,128,371
NUSA TENGGARA TIMUR,KUPANG,20452,1761,13667
NUSA TENGGARA TIMUR,LEMBATA,9303,3901,4003
NUSA TENGGARA TIMUR,MALAKA,9126,440,12789
NUSA TENGGARA TIMUR,MANGGARAI,18264,3006,15418
NUSA TENGGARA TIMUR,MANGGARAI BARAT,10943,3107,20166
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,6497,5237,27928
NUSA TENGGARA TIMUR,NAGEKEO,7093,492,3664
NUSA TENGGARA TIMUR,NGADA,7814,489,3571
NUSA TENGGARA TIMUR,ROTE NDAO,11023,2198,5390
NUSA TENGGARA TIMUR,SABU RAIJUA,3764,2360,8564
NUSA TENGGARA TIMUR,SIKKA,18828,1261,14152
NUSA TENGGARA TIMUR,SUMBA BARAT,3846,784,11383
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,6336,1698,38099
NUSA TENGGARA TIMUR,SUMBA TENGAH,1591,1283,6577
NUSA TENGGARA TIMUR,SUMBA TIMUR,6175,1666,18018
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,21665,4888,48782
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,15787,1725,13871
NUSA TENGGARA TIMUR,TOTAL,43704,294880,0
PAPUA,ASMAT,189,1133,10562
PAPUA,BIAK NUMFOR,12946,107,798
PAPUA,BOVEN DIGOEL,842,1244,3260
PAPUA,DEIYAI,382,1511,1098
PAPUA,DOGIYAI,2,455,4126
PAPUA,INTAN JAYA,0,6,200
PAPUA,JAYAPURA,7720,362,1253
PAPUA,JAYAWIJAYA,819,2106,10221
PAPUA,KEEROM,4753,691,780
PAPUA,KEPULAUAN YAPEN,3595,378,4093
PAPUA,KOTA JAYAPURA,15117,366,694
PAPUA,LANNY JAYA,2,539,5088
PAPUA,MAMBERAMO RAYA,0,512,176
PAPUA,MAMBERAMO TENGAH,0,283,404
PAPUA,MAPPI,429,401,9600
PAPUA,MERAUKE,9973,645,2445
PAPUA,MIMIKA,8296,1173,3783
PAPUA,NABIRE,6575,574,2135
PAPUA,NDUGA,0,0,0
PAPUA,PANIAI,740,1318,4825
PAPUA,PEGUNUNGAN BINTANG,34,2420,10395
PAPUA,PUNCAK,0,455,10871
PAPUA,PUNCAK JAYA,1,2826,4155
PAPUA,SARMI,520,982,561
PAPUA,SUPIORI,860,166,1006
PAPUA,TOLIKARA,0,841,3445
PAPUA,TOTAL,23790,109120,0
PAPUA,WAROPEN,1027,238,338
PAPUA,YAHUKIMO,1,95,9880
PAPUA,YALIMO,0,1963,2928
PAPUA BARAT,FAKFAK,4972,1821,1287
PAPUA BARAT,KAIMANA,867,1194,2463
PAPUA BARAT,KOTA SORONG,11465,322,187
PAPUA BARAT,MANOKWARI,9029,406,1311
PAPUA BARAT,MANOKWARI SELATAN,1730,674,1289
PAPUA BARAT,MAYBRAT,1809,1786,635
PAPUA BARAT,PEGUNUNGAN ARFAK,30,1171,5655
PAPUA BARAT,RAJA AMPAT,341,2712,1253
PAPUA BARAT,SORONG,4932,2246,859
PAPUA BARAT,SORONG SELATAN,315,582,2441
PAPUA BARAT,TAMBRAUW,565,809,961
PAPUA BARAT,TELUK BINTUNI,1915,1790,1263
PAPUA BARAT,TELUK WONDAMA,271,416,1879
PAPUA BARAT,TOTAL,15929,21483,0
RIAU,BENGKALIS,22221,3718,3104
RIAU,INDRAGIRI HILIR,15078,9351,15905
RIAU,INDRAGIRI HULU,23654,3725,6485
RIAU,KAMPAR,50362,4552,2557
RIAU,KEPULAUAN MERANTI,12805,6504,4311
RIAU,KOTA DUMAI,14629,768,485
