Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
SUMATERA SELATAN,MUARA ENIM,50221,2509,2972
SUMATERA SELATAN,MUSI BANYUASIN,34243,15775,4726
SUMATERA SELATAN,MUSI RAWAS,38394,721,3808
SUMATERA SELATAN,MUSI RAWAS UTARA,11274,3172,3844
SUMATERA SELATAN,OGAN ILIR,39529,1432,5206
SUMATERA SELATAN,OGAN KOMERING ILIR,56595,7313,8416
SUMATERA SELATAN,OGAN KOMERING ULU,22304,404,2216
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,22453,8013,11285
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,32604,518,1104
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,16503,431,834
SUMATERA SELATAN,TOTAL,49365,56457,0
SUMATERA UTARA,ASAHAN,31294,856,1481
SUMATERA UTARA,BATU BARA,41133,774,1185
SUMATERA UTARA,DAIRI,14786,261,2274
SUMATERA UTARA,DELI SERDANG,106752,1460,1962
SUMATERA UTARA,HUMBANG HASUNDUTAN,11887,122,1159
SUMATERA UTARA,KARO,22901,251,1038
SUMATERA UTARA,KOTA BINJAI,15725,38,96
SUMATERA UTARA,KOTA GUNUNGSITOLI,11460,124,2456
SUMATERA UTARA,KOTA MEDAN,109408,470,271
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,9978,45,438
SUMATERA UTARA,KOTA PEMATANG SIANTAR,17568,62,132
SUMATERA UTARA,KOTA SIBOLGA,5369,1,38
SUMATERA UTARA,KOTA TANJUNG BALAI,14056,37,207
SUMATERA UTARA,KOTA TEBING TINGGI,10671,8,35
SUMATERA UTARA,LABUHAN BATU,20029,1037,2178
SUMATERA UTARA,LABUHAN BATU SELATAN,7891,595,570
SUMATERA UTARA,LABUHAN BATU UTARA,16344,1171,1947
SUMATERA UTARA,LANGKAT,93166,1335,2435
SUMATERA UTARA,MANDAILING NATAL,21846,1498,8218
SUMATERA UTARA,NIAS,7271,584,13148
SUMATERA UTARA,NIAS BARAT,7881,383,5531
SUMATERA UTARA,NIAS SELATAN,13059,1154,29865
SUMATERA UTARA,NIAS UTARA,10533,368,12145
SUMATERA UTARA,PADANG LAWAS,13351,183,3271
SUMATERA UTARA,PADANG LAWAS UTARA,7892,471,2854
SUMATERA UTARA,PAKPAK BHARAT,1812,206,318
SUMATERA UTARA,SAMOSIR,6136,238,363
SUMATERA UTARA,SERDANG BEDAGAI,34962,224,876
SUMATERA UTARA,SIMALUNGUN,40375,417,1818
SUMATERA UTARA,TAPANULI SELATAN,15034,1203,3837
SUMATERA UTARA,TAPANULI TENGAH,25424,889,3374
SUMATERA UTARA,TAPANULI UTARA,23512,549,1977
SUMATERA UTARA,TOBA SAMOSIR,7427,164,835
SUMATERA UTARA,TOTAL,17178,108332,0
